election_id,poll_id,electoral_district_number,polling_division_number,vote_type,polling_location_id,location_assignment_type,location_assignment_source,location_assignment_confidence,location_uncertain_flag,exclude_from_distance_model_flag,exclude_reason
provincial_2025,provincial_2025|007|1|election_day,007,001,election_day,provincial_2025__007_o_connor_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|2|election_day,007,002,election_day,provincial_2025__007_presteign_heights_elementary_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|3|election_day,007,003,election_day,provincial_2025__007_selwyn_elementary_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|4|election_day,007,004,election_day,provincial_2025__007_victoria_park_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|5|election_day,007,005,election_day,provincial_2025__007_canadian_martyrs_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|6|election_day,007,006,election_day,provincial_2025__007_d_a_morrison_middle_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|7|election_day,007,007,election_day,provincial_2025__007_george_webster_elementary_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|8|election_day,007,008,election_day,provincial_2025__st_aidan_s_in_the_beach,candidate_location_label_only,current_processed_election_label,low,1,1,polling_location_not_geocoded
provincial_2025,provincial_2025|007|9|election_day,007,009,election_day,provincial_2025__007_st_brigid_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|10|election_day,007,010,election_day,provincial_2025__terry_fox_community_centre,candidate_location_label_only,current_processed_election_label,low,1,1,polling_location_not_geocoded
provincial_2025,provincial_2025|007|11|election_day,007,011,election_day,provincial_2025__007_secord_community_centre,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|12|election_day,007,012,election_day,provincial_2025__007_faith_presbyterian_community_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|13|election_day,007,013,election_day,provincial_2025__007_crescent_town_town_hall,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|14|election_day,007,014,election_day,provincial_2025__007_danforth_coxwell_library,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|15|election_day,007,015,election_day,provincial_2025__007_main_square_community_recreation_centre,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|16|election_day,007,016,election_day,provincial_2025__007_hope_united_church,official_return_label_exact_place_name_match,Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|17|election_day,007,017,election_day,provincial_2025__007_cecilia_murphy_building,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|18|election_day,007,018,election_day,provincial_2025__007_fairmount_park_community_centre,official_return_label_exact_place_name_match,Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|19|election_day,007,019,election_day,provincial_2025__007_grant_a_m_e_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|20|election_day,007,020,election_day,provincial_2025__007_adam_beck_community_centre,official_return_label_exact_place_name_match,Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|21|election_day,007,021,election_day,provincial_2025__007_toronto_formosan_presbyterian_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|22|election_day,007,022,election_day,provincial_2025__007_st_john_baptist_norway_anglican_ch,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|23|election_day,007,023,election_day,provincial_2025__007_norway_junior_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|24|election_day,007,024,election_day,provincial_2025__007_st_john_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|25|election_day,007,025,election_day,provincial_2025__007_toronto_united_mennonite_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|26|election_day,007,026,election_day,provincial_2025__007_beach_united_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|27|election_day,007,027,election_day,provincial_2025__007_beaches_recreation_centre,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|28|election_day,007,028,election_day,provincial_2025__007_kingston_road_united_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|400|election_day,007,400,election_day,provincial_2025__007_east_york_acres,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|401|election_day,007,401,election_day,provincial_2025__007_glen_stewart_acres,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|700|election_day,007,700,election_day,provincial_2025__007_canadian_macedonian_place,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|701|election_day,007,701,election_day,provincial_2025__007_st_clair_o_connor_community,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|702|election_day,007,702,election_day,provincial_2025__007_michael_garron_hospital,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|703|election_day,007,703,election_day,provincial_2025__007_true_davidson_acres_home_for_the_aged,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|704|election_day,007,704,election_day,provincial_2025__007_main_street_terrace,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|007|705|election_day,007,705,election_day,provincial_2025__007_atrium_at_kew_beach,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|1|election_day,019,001,election_day,provincial_2025__019_ennerdale_baptist_church,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|2|election_day,019,002,election_day,provincial_2025__019_st_john_bosco_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|3|election_day,019,003,election_day,provincial_2025__019_f_h_miller_junior_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|4|election_day,019,004,election_day,provincial_2025__019_st_nicholas_of_bari_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|5|election_day,019,005,election_day,provincial_2025__019_rawlinson_community_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|6|election_day,019,006,election_day,provincial_2025__019_stella_maris_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|7|election_day,019,007,election_day,provincial_2025__st_clare_catholic_elementary_school,candidate_location_label_only,current_processed_election_label,low,1,1,polling_location_not_geocoded
provincial_2025,provincial_2025|019|8|election_day,019,008,election_day,provincial_2025__019_oakwood_collegiate_institute,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|9|election_day,019,009,election_day,provincial_2025__019_joseph_j_piccininni_community_centre,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|10|election_day,019,010,election_day,provincial_2025__019_é_é_charles_sauriol,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|11|election_day,019,011,election_day,provincial_2025__carleton_village_jr_and_snr_p_s,candidate_location_label_only,current_processed_election_label,low,1,1,polling_location_not_geocoded
provincial_2025,provincial_2025|019|12|election_day,019,012,election_day,provincial_2025__019_loretto_college_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|13|election_day,019,013,election_day,provincial_2025__019_regal_road_junior_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|14|election_day,019,014,election_day,provincial_2025__019_st_mary_of_the_angels_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|15|election_day,019,015,election_day,provincial_2025__019_st_rita_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|16|election_day,019,016,election_day,provincial_2025__019_st_luigi_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|17|election_day,019,017,election_day,provincial_2025__019_wallace_emerson_community_centre,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|18|election_day,019,018,election_day,provincial_2025__019_dovercourt_public_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|19|election_day,019,019,election_day,provincial_2025__019_dovercourt_boys_and_girls_club,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|20|election_day,019,020,election_day,provincial_2025__019_st_anthony_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|21|election_day,019,021,election_day,provincial_2025__perth_avenue_housing_co_operative,candidate_location_label_only,current_processed_election_label,low,1,1,polling_location_not_geocoded
provincial_2025,provincial_2025|019|22|election_day,019,022,election_day,provincial_2025__019_st_sebastian_catholic_school,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
provincial_2025,provincial_2025|019|23|election_day,019,023,election_day,provincial_2025__019_the_salvation_army_bloor_central,exact_proposed_location_name_match_address_point,Elections Ontario proposed voting locations + Open Toronto Address Points,high,0,0,
