"Voting Location Name","Voting Location Address","Room To be used","Accessibility Note 1","Remediation 1","Accessibility Note 2","Remediation 2"
"A.Y. JACKSON SECONDARY SCHOOL","50 FRANCINE DR NORTH YORK M2H 2G6","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"AMICA AT BAYVIEW","15 BARBERRY PL NORTH YORK M2K 1G9","Dining Room","","","",""
"AMICA AT BAYVIEW GARDENS","19 REAN DR NORTH YORK M2K 0A4","Fireside Lounge","","","",""
"ARC CONDOS","2885 BAYVIEW AVE NORTH YORK M2K 0A3","Party Room-8th Floor","","","",""
"ARIA CONDOMINIUMS","20 BLOORVIEW PL NORTH YORK M2J 0A6","Party Room","","","",""
"BAYVIEW MIDDLE SCHOOL","25 BUNTY LANE NORTH YORK M2K 1W4","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"BAYVIEW VILLAGE PLACE AT 644 SHEPPARD","644 SHEPPARD AVE E NORTH YORK M2K 1C1","Party Room","","","",""
"BLESSED TRINITY CATHOLIC SCHOOL","3205 BAYVIEW AVE NORTH YORK M2K 1G3","Gym","","","",""
"CHARTWELL GIBSON LTC RESIDENCE","35 ESTERBROOKE AVE NORTH YORK M2J 2C6","Party Room","","","",""
"CHARTWELL GIBSON RETIREMENT RESIDENCES","1955 STEELES AVE E NORTH YORK M2H 3P1","Entertainment Room","","","",""
"CHEROKEE PUBLIC SCHOOL","390 CHEROKEE BLVD NORTH YORK M2H 2W7","Gym","","","",""
"CLIFFWOOD MANOR APARTMENTS","4000 DON MILLS RD NORTH YORK M2H 3N2","Entertainment Room","","","",""
"CLIFFWOOD PUBLIC SCHOOL","140 CLIFFWOOD RD NORTH YORK M2H 2E4","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door."
"CRESTHAVEN PUBLIC SCHOOL","46 CRESTHAVEN DR NORTH YORK M2H 1M1","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"CRESTVIEW PUBLIC SCHOOL","101 SENECA HILL DR NORTH YORK M2J 2W3","Gym","","","",""
"CUMMER PARK COMMUNITY CENTRE","6000 LESLIE ST NORTH YORK M2H 1J9","Gym","","","",""
"DISCOVERY CONDOS","19 SINGER CRT NORTH YORK M2K 0B2","Basketball Court","","","",""
"DON VALLEY MIDDLE SCHOOL","3100 DON MILLS RD NORTH YORK M2J 3C3","Gym","Inspection postponed; to be completed prior to election.","N/A","",""
"ELKHORN PUBLIC SCHOOL","10 ELKHORN DR NORTH YORK M2K 1J3","Gym","","","",""
"EMPIRE CONDOS","17 BARBERRY PL NORTH YORK M2K 3E2","Library","","","",""
"ERNEST PUBLIC SCHOOL","150 CHEROKEE BLVD NORTH YORK M2J 4A4","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"EXTENDICARE BAYVIEW","550 CUMMER AVE NORTH YORK M2K 2M2","Chapel","","","",""
"FOREST MANOR PUBLIC SCHOOL","25 FOREST MANOR RD NORTH YORK M2J 1M4","Gym","","","",""
"GRAND LUXE EVENT BOUTIQUE","3125 BAYVIEW AVE NORTH YORK M2K 1G2","Foyer","Small change in height along pathway into building and at entrance","Small - Temporary ramp will be available","",""
"HAROLD GREEN APARTEMENTS","121 PARKWAY FOREST DR NORTH YORK M2J 5H4","Party Room","","","",""
"HIGHLAND MIDDLE SCHOOL","201 CLIFFWOOD RD NORTH YORK M2H 3B5","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"HIGHPOINT POINT CONDOS","3300 DON MILLS RD NORTH YORK M2J 4X7","Party Room","","","",""
"HILLMOUNT PUBLIC SCHOOL","245 MCNICOLL AVE NORTH YORK M2H 2C6","Gym","","","",""
"KINGSLAKE PUBLIC SCHOOL","90 KINGSLAKE RD NORTH YORK M2J 3E8","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"LEGACY AT HERON'S HILL CONDOS","30 HERONS HILL WAY NORTH YORK M2J 0A7","Party Room","","","",""
"LESCON PUBLIC SCHOOL","34 LESCON RD NORTH YORK M2J 2G6","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"LESTER B. PEARSON ELEMENTARY SCHOOL","7 SNOWCREST AVE NORTH YORK M2K 2K5","Gym","","","",""
"LOBLAWS BAYVIEW VILLAGE-COOKING SCHOOL","2877 BAYVIEW AVE NORTH YORK M2K 2S3","Meeting Room","","","",""
"MUIRHEAD PUBLIC SCHOOL","25 MUIRHEAD RD NORTH YORK M2J 3W3","Gym","","","",""
"NORTH YORK GEN. HOSP. - SENIOR'S HEALTH","2 BUCHAN CRT NORTH YORK M2J 5A3","Lobby","","","",""
"NY TOWERS - THE CHRYSLER CONDOS","1 REAN DR NORTH YORK M2K 3C1","Cafe","","","",""
"ORIOLE COMMUNITY CENTRE","2975 DON MILLS RD W NORTH YORK M2J 3B7","Gymnasium","","","",""
"PALACE GATE CONDOS","3181 BAYVIEW AVE NORTH YORK M2K 2Y2","Party Room","","","",""
"PARKWAY COMMUNITY CENTRE","55 FOREST MANOR RD N NORTH YORK M2J 0C2","Gym","","","",""
"PINEWAY PUBLIC SCHOOL","110 PINEWAY BLVD NORTH YORK M2H 1A8","Gym","","","",""
"PLEASANTVIEW COMMUNITY CENTRE","545 VAN HORNE AVE NORTH YORK M2J 4S8","Multipurpose Room","","","",""
"ROCKEFELLER ON BAYVIEW CONDOS","18 KENASTON GDNS NORTH YORK M2K 3C7","Party Room","Door handle to entrance hard to operate.","Staff to assist with opening door.","",""
"SENECA HILL PUBLIC SCHOOL","625 SENECA HILL DR NORTH YORK M2J 2W6","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"SENECA TOWERS","1700 FINCH AVE E NORTH YORK M2J 4X8","Recreation Room","","","",""
"SHAUGHNESSY PUBLIC SCHOOL","30 SHAUGHNESSY BLVD NORTH YORK M2J 1H5","Gym","No power assist to building entrance.","Staff to assist with opening door.","",""
"SKYMARK TWO CONDOS YCC 473","1555 FINCH AVE E NORTH YORK M2J 4X9","Recreation Room","Elevator to voting location room cannot be operated independently.","Staff to assist with operating elevator.","",""
"ST. GABRIEL PASSIONIST PARISH","670 SHEPPARD AVE E NORTH YORK M2K 1B7","Gabriel Room","","","",""
"ST. GABRIEL TERRACES CONDOS","650 SHEPPARD AVE E NORTH YORK M2K 3E4","Meeting Room","","","",""
"ST. GABRIEL VILLAGE CONDOS","660 SHEPPARD AVE E NORTH YORK M2K 3E5","Meeting Room - Ground Floor","","","",""
"ST. GERALD SEPARATE SCHOOL","200 OLD SHEPPARD AVE NORTH YORK M2J 3L9","Gym","","","",""
