"Voting Location Name","Voting Location Address","Room To be used","Accessibility Note 1","Remediation 1"
"1001 BAY STREET","1001 BAY ST TORONTO M5S 3A6","Party Room - 2nd floor","",""
"120 CORNWALL - OAK ST CO-OP","120 CORNWALL ST TORONTO M5A 4K5","Community Room","No power assist to building entrance.","Staff to assist with opening door."
"1-25 COLE STREET","25 COLE ST TORONTO M5A 4M3","Party Room - 3rd floor","",""
"140 CARLTON STREET","140 CARLTON ST TORONTO M5A 3W7","Lounge","",""
"40 HOMEWOOD","40 HOMEWOOD AVE TORONTO M4Y 2K2","Party Room on B1","",""
"501 ADELAIDE ST E","501 ADELAIDE ST E TORONTO M5A 4K1","Reception Room","",""
"77 CARLTON ST","77 CARLTON ST TORONTO M5B 2J7","Billiards Room","",""
"80 MILL STREET","80 MILL ST TORONTO M5A 4T3","Party Room - 2nd floor","",""
"CARLTON ON THE PARK CONDOS","130 CARLTON ST TORONTO M5A 4K3","Party Room - Ground Floor","",""
"CASA CONDOMINIUM","33 CHARLES ST E TORONTO M4Y 0A2","Lobby","",""
"CELEBRITY PLACE","77 MAITLAND PL TORONTO M4Y 2V6","Meeting Room","",""
"CENTRAL NEIGHBOURHOOD HOUSE","349 ONTARIO ST TORONTO M5A 2V8","Gym","",""
"CENTURY PLAZA","24 WELLESLEY ST W TORONTO M4Y 2X6","Party Room - 24th floor","",""
"CHURCH OF ST. PETER AND ST. SIMON","525 BLOOR ST E TORONTO M4W 1J1","Parish Hall","",""
"CITY PARK CO-OP - 31 ALEXANDER","31 ALEXANDER ST TORONTO M4Y 1B2","PMG Hall","",""
"COLLEGEVIEW APARTMENTS","423 YONGE ST TORONTO M5B 1T2","Recreation Room - 20th floor","",""
"DIANE FRANKLING CO-OPERATIVE HOMES","85 BLEECKER ST TORONTO M4X 1X1","Community Room","",""
"ÉCOLE ÉLÉMENTAIRE GABRIELLE-ROY","14 PEMBROKE ST TORONTO M5A 2N7","Gym","No power assist to building entrance.","Staff to assist with opening door."
"ENCORE AT THE MET","25 CARLTON ST TORONTO M5B 1L4","Multi-Purpose Room - 2nd floor","",""
"ENOCH TURNER SCHOOLHOUSE","106 TRINITY ST TORONTO M5A 3C6","Main","No power assist to building entrance.","Staff to assist with opening door."
"FIVE CONDOS","5 ST JOSEPH ST TORONTO M4Y 0B6","Chillout Room - 2nd floor","",""
"FUDGER HOUSE","439 SHERBOURNE ST TORONTO M4X 1K6","Auditorium","",""
"GLOUCESTER GATE","30 GLOUCESTER ST TORONTO M4Y 1L6","Party Room","",""
"JOHN INNES COMMUNITY CENTRE","150 SHERBOURNE ST TORONTO M5A 2R6","Gym","No power assist to building entrance.","Staff to assist with opening door."
"KING'S COURT","230 KING ST E TORONTO M5A 1K5","Rooftop Lounge","",""
"LE COLLÈGE FRANÇAIS","100 CARLTON ST TORONTO M5B 1M3","Gym","",""
"L'ESPRIT CONDOMINIUMS","15 MAITLAND PL TORONTO M4Y 2X3","Lounge","",""
"LITTLE TRINITY CHURCH","425 KING ST E TORONTO M5A 1L3","Lower Reception Room","",""
"LONDON ON THE ESPLANADE","1 SCOTT ST TORONTO M5E 1A1","Party Room - 2nd floor","",""
"MAPLE LEAF APARTMENTS","40 GERRARD ST E TORONTO M5B 2E8","Lobby","",""
"METROPOLITAN UNITED CHURCH","56 QUEEN ST E TORONTO M5C 2Z3","Narthex","",""
"MSGR FRASER COLLEGE - ISABELLA CAMPUS","146 ISABELLA ST TORONTO M4Y 1P6","Gym","No power assist to building entrance.","Staff to assist with opening door."
"MSGR FRASER COLLEGE - ST. MARTIN CAMPUS","55 SALISBURY AVE TORONTO M4X 1C5","Gym","No power assist to building entrance.","Staff to assist with opening door."
"MURANO NORTH & SOUTH","37 GROSVENOR ST TORONTO M4Y 3G5","Party Room - 2nd floor","",""
"NEW TIMES SQUARE","109 FRONT ST E TORONTO M5A 4P7","Party Room - 2nd floor","",""
"OPERA PLACE","887 BAY ST TORONTO M5S 3K4","Lobby","",""
"OUR LADY OF LOURDES CATHOLIC SCHOOL","444 SHERBOURNE ST TORONTO M4X 1K2","Gym","",""
"PERFORMING ARTS LODGE","110 THE ESPLANADE TORONTO M5E 1X9","Green room lounge","",""
"PLAZA ONE HUNDRED","100 WELLESLEY ST E TORONTO M4Y 1H5","Lobby","",""
"POLO CLUB I","1055 BAY ST TORONTO M5S 3A3","Party Room - 24th floor","",""
"POLO CLUB II","44 ST JOSEPH ST TORONTO M4Y 2W4","Party Room - 4th floor","",""
"RADIOCITY - NORTH TOWER","285 MUTUAL ST TORONTO M4Y 3C5","Lobby","",""
"REGENT PARK COMMUNITY CENTRE","402 SHUTER ST TORONTO M5A 1X6","Banquet Hall A & B","Large change in height along pathway into voting room.","Staff to provide accommodation."
"REGENT PARK SACKVILLE DUNDAS RESIDENCES","246 SACKVILLE ST TORONTO M5A 3S4","Recreation Room","",""
"ROSE AVENUE JR. PUBLIC SCHOOL","675 ONTARIO ST TORONTO M4X 1N4","Gym","Very steep pathway.","Staff to provide accommodation."
"RYERSON INTL. LIVING LEARNING CTR.","240 JARVIS ST TORONTO M5B 2L1","International Room","",""
"RYERSON STUDENT CENTRE AND OAKHAM HOUSE","55 GOULD ST TORONTO M5B 1E9","Tecumseh Room","",""
"SHERBOURNE PLACE","345 SHERBOURNE ST TORONTO M5A 2S3","Chapel","",""
"SPRUCECOURT PUBLIC SCHOOL","70 SPRUCE ST TORONTO M5A 2J1","Gym","Very uneven pathway to entrance.","Staff to provide other on-site voting accommodation."
"ST. LAWRENCE COMMUNITY CENTRE","230 THE ESPLANADE TORONTO M5A 4J6","Gym","",""
"THE 500 CONDOS & LOFTS","500 SHERBOURNE ST TORONTO M4X 1L1","Room off lobby","",""
"THE 519","519 CHURCH ST TORONTO M4Y 2C9","Room 106","",""
"THE ALLEGRO CONDOS","909 BAY ST TORONTO M5S 3G2","Party Room","",""
"THE COSMOPOLITAN CONDOS","25 MAITLAND ST TORONTO M4Y 2W1","Party Room - Ground Floor","",""
"THE ELLINGTON CONDOS","7 CARLTON ST TORONTO M5B 2M3","Lobby","",""
"THE GALLERY CONDOS","25 GRENVILLE ST TORONTO M4Y 2X5","Party Room - 2nd floor","",""
"THE JAZZ","167 CHURCH ST TORONTO M5B 1Y6","Lobby","",""
"THE LEXINGTON CONDOS","45 CARLTON ST TORONTO M5B 2H9","Lounge - 2nd floor","",""
"THE MERCHANDISE BUILDING","155 DALHOUSIE ST TORONTO M5B 2P7","Lobby Atrium","",""
"THE METROPOLE CONDOS","7 KING ST E TORONTO M5C 3C5","Party Room - 5th floor","",""
"THE MODERN CONDOS","320 RICHMOND ST E TORONTO M5A 1P9","Main Lounge","",""
"THE VU SOUTH TOWER","112 GEORGE ST TORONTO M5A 2M5","Lobby","",""
"U OF T - STUDENT FAMILY HOUSING","35 CHARLES ST W TORONTO M4Y 1R6","Recreation Room - 2nd Floor","",""
"VERVE CONDOMINIUM","120 HOMEWOOD AVE TORONTO M4Y 2J3","Party Room","",""
"WELLESLEY CENTRAL PLACE","160 WELLESLEY ST E TORONTO M4Y 1J2","Chapel","",""
"WELLESLEY COMMUNITY CENTRE","495 SHERBOURNE ST TORONTO M4X 1K7","Multi-Purpose Room A & B","",""
"YMCA METRO CENTRAL","20 GROSVENOR ST TORONTO M4Y 2V5","Grosvenor Room","",""
"YORKTOWN ON THE PARK","222 THE ESPLANADE TORONTO M5A 4M8","Party Room - Basement","",""
