election_id,poll_id,electoral_district_number,polling_division_number,polling_division_name,vote_type,number_of_votes,number_of_electors,proportion_of_turnout,has_poll_geometry,polling_location_id,has_polling_location,poll_area_km2,poll_centroid_lon,poll_centroid_lat,poll_point_on_surface_lon,poll_point_on_surface_lat,polling_location_lon,polling_location_lat,poll_point_on_surface_distance_m,poll_centroid_distance_m,population_weighted_distance_m,walk_distance_m,walk_time_min,location_assignment_type,location_uncertain_flag,exclude_from_distance_model_flag,exclude_reason
federal_2025,federal_2025|35007|1|election_day,35007,1,Toronto,election_day,240.0,527.0,0.4554079696394686,1,,0,0.11798482,-79.30250590,43.71780554,-79.30318037,43.71793256,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|2|election_day,35007,2,Toronto,election_day,225.0,611.0,0.3682487725040916,1,,0,0.05331099,-79.30190429,43.71639730,-79.30099191,43.71634982,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|3|election_day,35007,3,Toronto,election_day,186.0,477.0,0.389937106918239,1,,0,0.94632529,-79.31242398,43.71370122,-79.31336828,43.71430267,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|4|election_day,35007,4,Toronto,election_day,156.0,480.0,0.325,1,,0,0.12596391,-79.30208182,43.71469766,-79.30180549,43.71476788,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|5|election_day,35007,5,Toronto,election_day,166.0,422.0,0.3933649289099526,1,,0,0.12489349,-79.30061134,43.71281663,-79.29956016,43.71361041,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|6|election_day,35007,6,Toronto,election_day,164.0,439.0,0.3735763097949886,1,,0,0.11332189,-79.29928475,43.71054894,-79.29929612,43.71055449,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|7|election_day,35007,7,Toronto,election_day,169.0,449.0,0.376391982182628,1,,0,0.09046205,-79.30197570,43.70897886,-79.29970240,43.70874536,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|8|election_day,35007,8,Toronto,election_day,149.0,423.0,0.3522458628841607,1,,0,0.06533286,-79.30647660,43.71228154,-79.30679469,43.71217025,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|9|election_day,35007,9,Toronto,election_day,150.0,362.0,0.4143646408839779,1,,0,0.16142703,-79.30508693,43.70998210,-79.30534723,43.70898766,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|10|election_day,35007,10,Toronto,election_day,158.0,352.0,0.4488636363636363,1,,0,0.06236577,-79.30855862,43.70903018,-79.30832415,43.70938016,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|11|election_day,35007,11,Toronto,election_day,109.0,371.0,0.2938005390835579,1,,0,0.12504851,-79.29865461,43.70757253,-79.29971144,43.70758125,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|12|election_day,35007,12,Toronto,election_day,191.0,445.0,0.4292134831460674,1,,0,0.09691972,-79.30931835,43.70702528,-79.31022998,43.70654459,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|13|election_day,35007,13,Toronto,election_day,153.0,485.0,0.3154639175257732,1,,0,0.06668812,-79.29552093,43.70443569,-79.29529191,43.70527308,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|14|election_day,35007,14,Toronto,election_day,95.0,341.0,0.2785923753665689,1,,0,0.08525512,-79.29796390,43.70394697,-79.29803490,43.70436483,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|15|election_day,35007,15,Toronto,election_day,164.0,460.0,0.3565217391304348,1,,0,0.24102471,-79.29456620,43.70015858,-79.29457440,43.70049713,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|16|election_day,35007,16,Toronto,election_day,200.0,529.0,0.3780718336483932,1,,0,0.32700541,-79.31597193,43.70727775,-79.31591698,43.70692591,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|17|election_day,35007,17,Toronto,election_day,166.0,509.0,0.3261296660117878,1,,0,0.18709213,-79.31153152,43.70410629,-79.31124793,43.70397093,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|18|election_day,35007,18,Toronto,election_day,161.0,481.0,0.3347193347193347,1,,0,0.14393087,-79.32480252,43.70555148,-79.32394232,43.70541934,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|19|election_day,35007,19,Toronto,election_day,184.0,547.0,0.336380255941499,1,,0,0.25511245,-79.31875006,43.70441831,-79.32045824,43.70501281,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|20|election_day,35007,20,Toronto,election_day,202.0,525.0,0.3847619047619047,1,,0,0.65155939,-79.32561612,43.70504181,-79.32728876,43.70694949,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|21|election_day,35007,21,Toronto,election_day,165.0,484.0,0.3409090909090909,1,,0,0.03699078,-79.29648705,43.70709771,-79.29650360,43.70696613,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|22|election_day,35007,22,Toronto,election_day,179.0,408.0,0.4387254901960784,1,,0,0.14093958,-79.30128255,43.70503014,-79.30170032,43.70479661,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|23|election_day,35007,23,Toronto,election_day,155.0,411.0,0.3771289537712895,1,,0,0.12291553,-79.30442316,43.70525063,-79.30532937,43.70539589,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|24|election_day,35007,24,Toronto,election_day,137.0,473.0,0.2896405919661733,1,,0,0.00627308,-79.29693529,43.70343496,-79.29702560,43.70300517,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|25|election_day,35007,25,Toronto,election_day,149.0,374.0,0.3983957219251337,1,,0,0.14448216,-79.30120226,43.70158281,-79.30100134,43.70137264,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|26|election_day,35007,26,Toronto,election_day,191.0,502.0,0.3804780876494024,1,,0,0.03435983,-79.29824466,43.70012627,-79.29826437,43.70024044,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|27|election_day,35007,27,Toronto,election_day,182.0,526.0,0.3460076045627376,1,,0,0.40112740,-79.30971844,43.70129902,-79.30971445,43.70244181,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|28|election_day,35007,28,Toronto,election_day,203.0,453.0,0.4481236203090508,1,,0,0.16976835,-79.30434413,43.70045868,-79.30558054,43.70071958,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|29|election_day,35007,29,Toronto,election_day,175.0,454.0,0.3854625550660793,1,,0,0.03815212,-79.29976721,43.69859352,-79.29935334,43.69865479,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|30|election_day,35007,30,Toronto,election_day,145.0,393.0,0.3689567430025445,1,,0,0.01615638,-79.29841972,43.69834175,-79.29755624,43.69845116,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|31|election_day,35007,31,Toronto,election_day,136.0,352.0,0.3863636363636363,1,,0,0.17336150,-79.30110036,43.69708633,-79.30141373,43.69736547,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|32|election_day,35007,32,Toronto,election_day,134.0,465.0,0.2881720430107526,1,,0,0.14696960,-79.29417436,43.69638045,-79.29571605,43.69660143,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|33|election_day,35007,33,Toronto,election_day,132.0,447.0,0.2953020134228188,1,,0,0.04521879,-79.29141487,43.69515607,-79.29094612,43.69564653,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|34|election_day,35007,34,Toronto,election_day,156.0,440.0,0.3545454545454545,1,,0,0.02663132,-79.29939925,43.69502647,-79.29918983,43.69507774,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|35|election_day,35007,35,Toronto,election_day,236.0,444.0,0.5315315315315315,1,,0,0.14935534,-79.29400267,43.69358633,-79.29526937,43.69294220,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|36|election_day,35007,36,Toronto,election_day,149.0,335.0,0.444776119402985,1,,0,0.05284087,-79.29871450,43.69370753,-79.29879469,43.69365129,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|37|election_day,35007,37,Toronto,election_day,108.0,359.0,0.3008356545961003,1,,0,0.08729140,-79.30018128,43.69202629,-79.30033327,43.69204691,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|38|election_day,35007,38,Toronto,election_day,100.0,442.0,0.2262443438914027,1,,0,0.00693378,-79.31852321,43.70001255,-79.31859736,43.69964442,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|39|election_day,35007,39,Toronto,election_day,139.0,373.0,0.3726541554959786,1,,0,0.19402668,-79.32464973,43.69984705,-79.32473113,43.69987319,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|40|election_day,35007,40,Toronto,election_day,127.0,483.0,0.2629399585921325,1,,0,0.23778207,-79.31531798,43.69818503,-79.31490805,43.69752544,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|41|election_day,35007,41,Toronto,election_day,209.0,480.0,0.4354166666666667,1,,0,0.14170978,-79.32075097,43.69782269,-79.32093337,43.69733172,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|42|election_day,35007,42,Toronto,election_day,164.0,419.0,0.3914081145584726,1,,0,0.11159636,-79.32609042,43.69749448,-79.32619502,43.69747366,,,,,,,,unavailable,1,1,no_verified_polling_location
federal_2025,federal_2025|35007|43|election_day,35007,43,Toronto,election_day,150.0,442.0,0.3393665158371041,1,,0,0.08498377,-79.31907382,43.69573596,-79.31844659,43.69569248,,,,,,,,unavailable,1,1,no_verified_polling_location
