"Voting Location Name","Voting Location Address","Room To be used","Accessibility Note 1","Remediation 1","Accessibility Note 2","Remediation 2"
"390 DIXON RD","390 DIXON RD ETOBICOKE M9R 1T4","Party Room","Elevator to voting location room cannot be operated independently.","Staff to assist with operating elevator.","",""
"ALBION HEIGHTS SCHOOL","45 LYNMONT RD ETOBICOKE M9V 3W9","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"ANTONIO MAZZOTTA - SENIORS BUILDING","88 HUMBER COLLEGE BLVD ETOBICOKE M9V 5G3","Community Room","","","",""
"BRAEBURN JR. PUBLIC SCHOOL","15 TANDRIDGE CRES ETOBICOKE M9W 2N8","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"DEERWOOD CREEK COMMUNITY CARE","70 HUMBERLINE DR ETOBICOKE M9W 7H3","Games Room","","","",""
"ELMBANK COMMUNITY CENTRE","10 RAMPART RD ETOBICOKE M9V 4L9","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"ELMLEA JUNIOR SCHOOL","50 HADRIAN DR ETOBICOKE M9W 1V4","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door."
"ETOBICOKE GENERAL HOSP","101 HUMBER COLLEGE BLVD ETOBICOKE M9V 1R8","TBD","","","",""
"HIGHWAY TERRACE APTS","2314 ISLINGTON AVE ETOBICOKE M9W 5W9","Church Auditorium","","","",""
"HUMBER GREEN - GRAND VISTA","234 ALBION RD ETOBICOKE M9W 6A5","Party Room","","","",""
"HUMBER VALLEY TERRACE","95 HUMBER COLLEGE BLVD ETOBICOKE M9V 5B5","Main Lobby","","","",""
"HUMBERWOOD APTS","2 ARMEL CRT ETOBICOKE M9W 6L4","Lobby","","","",""
"HUMBERWOOD COMMUNITY CENTRE","850 HUMBERWOOD BLVD ETOBICOKE M9W 7A6","Gym A","Steep pathway to entrance.","Large - Temporary ramp will be available","",""
"JOHN D. PARKER JR. SCHOOL","202 MOUNT OLIVE DR ETOBICOKE M9V 3Z5","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door."
"KINGSVIEW PARK","320 DIXON RD ETOBICOKE M9R 1S8","Party Room","Elevator to voting location room cannot be operated independently.","Staff to assist with operating elevator.","",""
"KINGSVIEW VILLAGE SCHOOL","1 YORK RD ETOBICOKE M9R 3C8","Gym","","","",""
"KIPLING ACRES","2233 KIPLING AVE ETOBICOKE M9W 4L3","Lobby","","","",""
"MANSIONS OF THE HUMBERWOOD","700 HUMBERWOOD BLVD ETOBICOKE M9W 7J4","Party Room","","","",""
"MARTIN GROVE UNITED CHURCH","75 PERGOLA RD ETOBICOKE M9W 5K4","Friendship Hall","Elevator to voting location room cannot be operated independently.","Staff to assist with operating elevator.","",""
"MONSIGNOR JOHN CORRIGAN CATHOLIC SCHOOL","100 ROYALCREST RD ETOBICOKE M9V 5B4","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"MONSIGNOR PERCY JOHNSON CATHOLIC S.S.","2170 KIPLING AVE ETOBICOKE M9W 4K9","Gym","","","",""
"NORTH KIPLING COMMUNITY CENTRE","2 ROWNTREE RD ETOBICOKE M9V 5C7","Gym","","","",""
"OUR SAVIOUR THISTLEDOWN LUTHERAN LODGE","2715 ISLINGTON AVE ETOBICOKE M9V 5H3","Recreation Room","","","",""
"PARKFIELD JUNIOR PUBLIC SCHOOL","31 REDGRAVE DR ETOBICOKE M9R 3T9","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"PLATINUM ON THE HUMBER #2","3 ROWNTREE RD ETOBICOKE M9V 5G8","Party Room","","","",""
"PLATINUM ON THE HUMBER #3","1 ROWNTREE RD ETOBICOKE M9V 5G7","Party Room","","","",""
"SCHOOL OF EXPERIENTIAL EDUCATION","40 MCARTHUR ST ETOBICOKE M9P 3M7","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"SMITHFIELD MIDDLE PUBLIC SCHOOL","175 MOUNT OLIVE DR ETOBICOKE M9V 2E3","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door."
"ST. ANDREW CATHOLIC SCHOOL","2533 KIPLING AVE ETOBICOKE M9V 3A8","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door."
"ST. JOHN VIANNEY CATHOLIC SCHOOL","105 THISTLE DOWN BLVD ETOBICOKE M9V 1J5","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","",""
"THISTLETOWN COLLEGIATE INSTITUTE","20 FORDWICH CRES ETOBICOKE M9W 2T4","Gym","Steep pathway to building.","Large - Temporary ramp will be available","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape."
"THISTLETOWN COMMUNITY CENTRE","925 ALBION RD ETOBICOKE M9V 1A6","Gym","","","",""
"WESTSIDE","1145 ALBION RD ETOBICOKE M9V 4J7","Activity Room","","","",""
