"Voting Location Name","Voting Location Address","Room To be used","Accessibility Note 1","Remediation 1"
"1166 BAY","1166 BAY ST TORONTO M5S 2X8","Party Room","",""
"18 YORKVILLE","18 YORKVILLE AVE TORONTO M4W 3Y8","Party Room","",""
"360 ON BLOOR","360 BLOOR ST E TORONTO M4W 3M3","Library","",""
"57 CHARLES AT BAY","57 CHARLES ST W TORONTO M5S 2X1","Social Room","",""
"ANNEX RETIREMENT RESIDENCE","123 SPADINA RD TORONTO M5R 2T1","Community Room","",""
"BASILIAN FATHERS","95 ST JOSEPH ST TORONTO M5S 2R9","Sitting Room","",""
"BELLWOODS DUNDAS","1082 DUNDAS ST W TORONTO M6J 1X1","Lobby","",""
"BELLWOODS PARK HOUSE","300 SHAW ST TORONTO M6J 2X2","Lobby","",""
"BELMONT HOUSE","55 BELMONT ST TORONTO M5R 1R1","Community Room","",""
"BLOOR STREET NEIGHBOURHOOD","35 HAYDEN ST TORONTO M4Y 3C3","Party Room","",""
"BOB ABATE RECREATION CENTRE","485 MONTROSE AVE TORONTO M6G 3H2","Main Room","",""
"BURANO CONDOMINIUM","832 BAY ST TORONTO M5S 1Z6","Party Room","",""
"CHURCH OF THE MESSIAH","240 AVENUE RD TORONTO M5R 2J4","Church Hall","",""
"CHURCH OF THE REDEEMER","162 BLOOR ST W TORONTO M5S 1M4","Main Floor","",""
"COLLEGE PARK SUITES","424 YONGE ST TORONTO M5B 2H3","Lobby","",""
"COLLEGE STREET UNITED CHURCH","454 COLLEGE ST TORONTO M6G 1A1","Banquet Hall","",""
"CONSERVATORY TOWER","736 BAY ST TORONTO M5G 2M4","Party Room","",""
"ÉCOLE PIERRE ELLIOT TRUDEAU","65 GRACE ST TORONTO M6J 2S4","Gym","",""
"ESSEX JUNIOR & SENIOR PUBLIC SCHOOL","50 ESSEX ST TORONTO M6G 1T3","Gym","",""
"HARBORD COLLEGIATE INSTITUTE","286 HARBORD ST TORONTO M6G 1G5","Gym","",""
"HAZELTON PLACE","111 AVENUE RD TORONTO M5R 3J8","St. George Room","",""
"HORIZON ON BAY","633 BAY ST TORONTO M5G 2G4","Party Room","",""
"JESSE KETCHUM PUBLIC SCHOOL","61 DAVENPORT RD TORONTO M5R 1H4","Gym","",""
"KENSINGTON APARTMENTS","21 DALE AVE TORONTO M4W 1K3","Lobby","",""
"KENSINGTON GARDENS-NORTH","45 BRUNSWICK AVE TORONTO M5S 3M3","Dining Room","",""
"KENSINGTON GARDENS-SOUTH","25 BRUNSWICK AVE TORONTO M5S 2L9","Lobby","",""
"KENSINGTON MANOR","34 OXFORD ST TORONTO M5T 2Y2","Party Room","",""
"KNOX PRESBYTERIAN CHURCH","630 SPADINA AVE TORONTO M5S 2H4","Winchester","",""
"LEONARDO COURT","72 CLINTON ST TORONTO M6G 3Z9","Recreation Room","",""
"LUMIERE CONDOMINIUMS ON BAY","770 BAY ST TORONTO M5G 0A6","Party Room","",""
"MANULIFE CENTRE","44 CHARLES ST W TORONTO M4Y 1R7","Party Room","",""
"MEMPHIS CONDOMINIUM","942 YONGE ST TORONTO M4W 3S8","Meeting Room","",""
"MINTO PLAZA","38 ELM ST TORONTO M5G 2K5","Lobby","",""
"MON SHEONG HOME FOR THE AGED","506-36 D'ARCY ST TORONTO M5T 1J7","Meeting Room","",""
"MONSIGNOR FRASER COLLEGE","700 MARKHAM ST TORONTO M6G 2M3","Gym","",""
"MONTROSE JUNIOR PUBLIC SCHOOL","301 MONTROSE AVE TORONTO M6G 3G9","Gym","",""
"NATIVE CANADIAN CENTRE","16 SPADINA RD TORONTO M5R 2S7","Gym","",""
"ONE BLOOR STREET EAST","1 BLOOR ST E TORONTO M4W 0A8","Bloor Lounge","",""
