"Voting Location Name","Voting Location Address","Room To be used","Accessibility Note 1","Remediation 1","Accessibility Note 2","Remediation 2","Accessibility Note 3","Remediation 3","Accessibility Note 4","Remediation 4"
"ADVENT FORESTVIEW RETIREMENT RESIDENCE","537 FINCH AVE W NORTH YORK M2R 0A8","Multi-Purpose Room","","","","","","","",""
"ADVENT VALLEYVIEW RESIDENCE","541 FINCH AVE W NORTH YORK M2R 3Y3","Common Area","","","","","","","",""
"ANTIBES COMMUNITY CENTRE","140 ANTIBES DR NORTH YORK M2R 3G7","Multi-Purpose Room","","","","","","","",""
"APTUS TREATMENT CENTRE","111 ANTHONY RD NORTH YORK M3K 1B7","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door.","","","",""
"BARONESS APARTMENTS","11 GOLDFINCH CRT NORTH YORK M2R 2C2","Lobby","","","","","","","",""
"BATHURST TOWERS","6200 BATHURST ST NORTH YORK M2R 2A3","Lobby","","","","","","","",""
"BATHVILLE TOWERS","6000 BATHURST ST NORTH YORK M2R 1Z2","Lobby","No power assist to building entrance.","Staff to assist with opening door.","","","","","",""
"BETH EMETH BAIS YEHUDA SYNAGOGUE","100 ELDER ST NORTH YORK M3H 5G7","Hall","","","","","","","",""
"BEVERLEY HEIGHTS MIDDLE SCHOOL","26 TROUTBROOKE DR NORTH YORK M3M 1S5","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","","","","","",""
"BJCC/LIPA GREEN CENTRE","4600 BATHURST ST NORTH YORK M2R 1W6","Tamari Hall","","","","","","","",""
"BLAYDON PUBLIC SCHOOL","25 BLAYDON AVE NORTH YORK M3M 2C9","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","No power assist to building entrance.","Staff to assist with opening door.","","","",""
"B'NAI BRITH - UPPER CANADA LODGE","4266 BATHURST ST NORTH YORK M3H 5Y7","Auditorium","","","","","","","",""
"B'NAI BRITH CANADA SENIORS CITIZEN RES.","4300 BATHURST ST NORTH YORK M3H 6A4","Lounge","","","","","","","",""
"BRANSON TOWERS","3 GOLDFINCH CRT NORTH YORK M2R 2C1","Lobby","","","","","","","",""
"CALICO PUBLIC SCHOOL","35 CALICO DR NORTH YORK M3L 1V5","Gym","More accessible parking spots required and/or narrow parking.","Temporary accessible parking spots will be marked with parking cones and tape.","Small change in height at entrance.","Small - Temporary ramp will be available","No power assist to building entrance.","Staff to assist with opening door.","",""
"CANYON TOWERS","4415 BATHURST ST NORTH YORK M3H 3S1","Lobby","","","","","","","",""
