Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bill Blair,Amanda Cain,Imran Khan,Christine Nugent,Michael Poulin,Fatima Shaban,Asm Tarun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 1","Toronto",106,1,0,0,2,3,61,1,174,424
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 2","Toronto",104,2,0,0,3,9,49,0,167,364
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 3","Toronto",162,6,0,0,2,17,73,0,260,737
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 4","Toronto",90,0,0,1,2,10,56,0,159,496
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 5","Toronto",126,2,0,0,1,21,38,1,189,594
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 6","Toronto",93,2,2,0,1,3,40,1,142,348
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 7","Toronto",54,0,0,0,1,1,46,1,103,397
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 8","Toronto",91,1,0,0,1,7,62,0,162,238
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 9","Toronto",67,1,0,0,1,8,49,0,126,393
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 10","Toronto",127,4,1,2,2,17,51,0,204,558
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 11","Toronto",117,1,2,0,3,6,58,1,188,511
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 12","Toronto",122,3,3,1,1,7,56,1,194,485
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 13","Toronto",106,4,0,0,3,8,60,1,182,458
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 14","Toronto",125,1,0,0,0,7,68,0,201,582
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 15","Toronto",48,2,0,0,1,1,32,0,84,284
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 16","Toronto",98,4,1,1,2,8,82,1,197,550
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 17","Toronto",108,5,2,1,7,9,79,0,211,587
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 18","Toronto",106,1,0,0,2,8,50,0,167,471
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 19","Toronto",154,5,4,0,1,12,57,3,236,651
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 20","Toronto",113,6,1,0,1,8,52,0,181,408
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21","Toronto",166,1,1,0,1,4,70,0,243,589
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Toronto",84,3,0,0,4,10,67,0,168,430
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Toronto",66,1,0,0,2,9,82,0,160,441
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Toronto",112,3,0,1,4,6,73,0,199,439
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25","Toronto",83,1,2,0,7,6,82,1,182,536
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Toronto",100,3,1,1,7,11,41,3,167,363
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27","Toronto",102,0,3,0,3,3,37,0,148,480
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Toronto",72,5,1,2,3,9,59,3,154,466
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29","Toronto",102,2,0,0,2,14,67,1,188,511
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Toronto",95,2,0,0,1,6,52,1,157,436
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Toronto",61,1,0,0,2,6,60,0,130,441
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32","Toronto",165,2,0,2,1,13,79,0,262,562
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Toronto",89,4,0,0,1,7,68,0,169,511
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Toronto",55,1,1,0,1,8,48,0,114,392
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Toronto",162,2,1,1,4,5,124,1,300,577
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 36","Toronto",152,5,0,0,0,15,94,0,266,597
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 37","Toronto",110,1,1,2,1,4,60,0,179,594
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 38","Toronto",99,2,0,1,3,10,73,0,188,522
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 39","Toronto",98,0,0,0,1,6,37,0,142,426
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 40","Toronto",92,5,0,0,0,3,67,1,168,450
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 41","Toronto",64,2,0,0,2,6,51,2,127,375
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 42","Toronto",112,2,0,1,0,9,48,2,174,432
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 43","Toronto",121,1,2,0,2,10,52,0,188,532
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 44","Toronto",174,6,3,0,5,10,73,1,272,568
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 45","Toronto",111,5,0,0,3,7,77,1,204,454
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 46","Toronto",113,4,0,0,1,11,43,2,174,443
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 47","Toronto",90,3,2,0,1,8,68,3,175,467
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 48","Toronto",96,1,0,1,4,2,45,0,149,401
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 49","Toronto",101,0,1,0,1,5,51,0,159,409
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 50","Toronto",115,1,0,0,1,11,77,1,206,556
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 51","Toronto",91,2,0,0,0,5,28,1,127,332
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 52","Toronto",117,0,0,1,1,11,61,1,192,475
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 53","Toronto",110,1,0,0,4,9,71,0,195,506
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 54","Toronto",68,2,0,0,2,2,63,0,137,442
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 55","Toronto",136,3,0,0,2,10,77,1,229,437
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 56","Toronto",58,3,0,0,2,10,39,0,112,332
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 57","Toronto",89,2,0,0,1,17,61,2,172,544
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 58","Toronto",96,0,0,0,0,5,88,0,189,550
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 59","Toronto",77,6,0,0,2,19,49,0,153,555
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 60","Toronto",82,2,0,0,2,12,46,1,145,365
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 61","Toronto",110,2,1,0,1,10,61,1,186,536
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 62","Toronto",207,1,0,2,13,15,100,3,341,823
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 63","Toronto",131,1,0,0,3,6,61,1,203,483
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 64","Toronto",156,5,1,0,4,18,70,2,256,513
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 65","Toronto",110,4,0,0,1,4,80,0,199,548
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 66","Toronto",101,3,0,0,2,7,75,1,189,518
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 67","Toronto",102,7,0,0,1,9,79,0,198,526
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 68","Toronto",140,5,0,0,4,6,77,0,232,540
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 69","Toronto",113,1,0,0,5,14,68,1,202,515
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 70","Toronto",85,2,0,0,4,4,40,0,135,388
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 71","Toronto",110,5,0,1,3,6,36,1,162,348
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 72","Toronto",152,3,0,0,1,9,73,3,241,681
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 73","Toronto",69,3,5,0,4,15,54,0,150,364
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 74","Toronto",108,4,0,0,4,13,51,2,182,510
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 75","Toronto",82,3,1,2,2,15,56,0,161,545
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 76","Toronto",105,2,1,1,3,9,68,0,189,565
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 77","Toronto",126,4,1,0,0,10,82,0,223,581
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 78","Toronto",97,5,2,0,0,10,85,1,200,586
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 79","Toronto",91,1,0,0,1,8,91,0,192,478
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 80","Toronto",111,2,0,1,2,9,81,0,206,477
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 81","Toronto",108,3,1,0,7,11,81,0,211,406
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 82","Toronto",97,2,0,0,1,6,111,0,217,441
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 83","Toronto",100,4,0,1,0,11,69,0,185,515
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 84","Toronto",131,5,0,0,8,7,108,0,259,577
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 85","Toronto",115,1,0,0,0,10,37,2,165,502
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 86","Toronto",87,0,0,0,0,5,38,0,130,501
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 87","Toronto",84,2,0,0,1,7,51,1,146,403
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 88","Toronto",99,0,1,0,3,10,61,0,174,551
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 89","Toronto",69,5,0,0,3,10,78,0,165,452
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 90","Toronto",103,1,0,0,4,10,50,0,168,554
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 91","Toronto",95,3,1,0,2,8,66,2,177,418
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 92","Toronto",101,3,0,3,2,2,45,1,157,468
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 93","Toronto",89,0,1,1,1,4,39,0,135,450
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 94","Toronto",78,2,1,1,0,5,51,0,138,522
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 95","Toronto",88,0,0,0,0,10,74,0,172,411
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 96","Toronto",118,1,2,0,4,15,59,0,199,536
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 97","Toronto",109,5,0,0,1,11,79,0,205,527
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 98","Toronto",86,5,0,0,1,6,51,8,157,336
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 99","Toronto",130,5,3,0,2,14,77,0,231,557
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 100","Toronto",99,2,0,0,1,8,63,1,174,408
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 101","Toronto",100,3,5,0,3,6,40,0,157,517
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 102","Toronto",109,5,1,0,2,5,57,0,179,390
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 103","Toronto",139,3,1,1,1,6,70,3,224,423
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 104","Toronto",101,4,0,1,2,9,78,1,196,550
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 105","Toronto",132,1,0,2,0,8,54,0,197,474
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 106","Toronto",104,4,1,0,1,2,84,2,198,522
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 107","Toronto",117,5,1,3,2,16,60,1,205,462
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108","Toronto",67,4,0,0,2,10,65,1,149,450
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 109","Toronto",99,2,2,2,1,12,75,0,193,410
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 110","Toronto",129,1,1,0,3,14,92,1,241,542
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 111","Toronto",132,5,1,0,5,17,67,0,227,556
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 112","Toronto",114,5,0,0,2,9,80,0,210,541
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 113","Toronto",71,3,0,0,3,10,38,0,125,498
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 114","Toronto",96,2,1,0,3,11,59,0,172,530
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 115","Toronto",104,6,1,2,8,5,80,1,207,487
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 116","Toronto",135,3,2,0,2,15,70,0,227,665
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 117","Toronto",97,2,0,0,2,10,22,1,134,530
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 118","Toronto",76,1,1,0,2,14,58,0,152,590
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 119","Toronto",102,1,1,0,2,7,92,1,206,563
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 120","Toronto",114,2,2,0,0,8,48,0,174,546
35096,"Scarborough Southwest/Scarborough-Sud-Ouest"," 121","Toronto",107,1,0,1,2,13,75,0,199,557
