Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 1","Toronto",N,N,"",2,397,"Koa","","Alyson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,9
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 1","Toronto",N,N,"",2,397,"Koubakis","","Peter","People's Party - PPC","Parti populaire - PPC",N,N,0
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 1","Toronto",N,N,"",2,397,"Mathew","","Belent","Conservative","Conservateur",N,N,48
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 1","Toronto",N,N,"",2,397,"Zahid","","Salma","Liberal","Libéral",Y,Y,81
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 2","Toronto",N,N,"",2,512,"Koa","","Alyson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 2","Toronto",N,N,"",2,512,"Koubakis","","Peter","People's Party - PPC","Parti populaire - PPC",N,N,4
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 2","Toronto",N,N,"",2,512,"Mathew","","Belent","Conservative","Conservateur",N,N,78
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 2","Toronto",N,N,"",2,512,"Zahid","","Salma","Liberal","Libéral",Y,Y,83
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 3","Toronto",N,N,"",0,472,"Koa","","Alyson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 3","Toronto",N,N,"",0,472,"Koubakis","","Peter","People's Party - PPC","Parti populaire - PPC",N,N,5
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 3","Toronto",N,N,"",0,472,"Mathew","","Belent","Conservative","Conservateur",N,N,54
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 3","Toronto",N,N,"",0,472,"Zahid","","Salma","Liberal","Libéral",Y,Y,104
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 4","Toronto",N,N,"",0,451,"Koa","","Alyson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 4","Toronto",N,N,"",0,451,"Koubakis","","Peter","People's Party - PPC","Parti populaire - PPC",N,N,3
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 4","Toronto",N,N,"",0,451,"Mathew","","Belent","Conservative","Conservateur",N,N,95
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 4","Toronto",N,N,"",0,451,"Zahid","","Salma","Liberal","Libéral",Y,Y,99
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 5","Toronto",N,N,"",1,314,"Koa","","Alyson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35093,"Scarborough Centre--Don Valley East","Scarborough-Centre--Don Valley-Est"," 5","Toronto",N,N,"",1,314,"Koubakis","","Peter","People's Party - PPC","Parti populaire - PPC",N,N,4
