variable,component_1,component_2,component_3,component_4,component_5,component_6
block1_age_65_plus_share,0.13326133560660014,-0.0817042696565377,0.6589884650367438,-0.5034041536473368,-0.795477972525201,0.3533978245740592
block1_age_18_34_share,-0.1065026603635192,0.30622339281197103,-0.6394643656568751,-0.2521083150256213,-0.12036633933244932,-0.020234073070233855
block1_bachelors_or_higher_25_64_share,0.45193421406600404,0.1435305977948647,-0.21816865288983348,0.3805714001669088,-0.5252468134479079,0.037068890072601626
block1_average_household_size,-0.3368124235590395,-0.365739904885417,0.033201915275153725,0.27474221617993677,-0.20966579353679918,-0.06771333100712773
block1_low_income_lim_at_share,-0.27001239751756484,0.3272718881935536,0.23123322474781463,-0.3392013762567335,0.3097172771112083,0.1297297120210284
block2_renter_share,-0.13808783490779297,0.32936011274763544,0.07355623043802116,-0.355572822468339,0.523748433571507,-0.7878847564664583
block2_same_address_5yr_share,-0.05586489737422496,-0.38615772770046347,0.42519614566527053,0.095131291857702,0.17521636688906955,-0.2689527384430592
block2_apartment_share,-0.04733049894918036,0.432436649807208,0.07277853598334298,-0.0995546247906316,0.3753018385721494,0.002213887224115918
block2_condo_share,0.009313412035885048,0.3082057369147066,-0.1670970458342137,0.2254707231483095,-0.34619546513708066,0.8152674089277918
block2_population_density_per_km2,-0.0064639952551599645,0.35548744621779366,-0.08387599132603943,0.4429351821442231,-0.2457049900197115,-0.42007319817920197
block3_visible_minority_share,-0.5620863977762719,0.05530037633841029,0.03467388746937123,-0.042166769454039583,-0.3557430863761129,0.3256611113424976
block3_non_citizen_share,-0.4200373065292336,0.2861249186239654,-0.11684530814281215,0.16552426647336546,-0.38527213694262225,0.08013029533749289
block3_recent_immigrant_share,-0.3556394830580984,0.3158268934240702,-0.07050398327356501,0.3731887128268786,-0.23421906546487686,-0.0812665112376683
