n_components,train_r2,train_adjusted_r2,train_rmse,cv_r2,cv_rmse
1,0.49643521822761605,0.4955714707460167,0.061684365091026906,0.4716139247416141,0.06318632638898568
2,0.539511685112593,0.5379292510408149,0.05898705739081061,0.4926231332373512,0.06191740630222684
3,0.5641581803091489,0.5619077061971479,0.05738678226271578,0.5242904631108415,0.059954026228485065
4,0.5794743161420015,0.5765741390119463,0.056369435720015085,0.5189103472897341,0.060292103028383476
5,0.5922169984962884,0.5886955563416795,0.05550881851234243,0.5234784380119697,0.06000517447371397
6,0.6033897283918345,0.599272666748843,0.05474310204824134,0.5229584040375399,0.060037907746424285
7,0.6091315939620396,0.6043896895560332,0.0543453898314275,0.5237326590087193,0.0599891661630963
8,0.6129311347518855,0.6075551782901061,0.05408060534081625,0.5270380061832483,0.05978063806060482
9,0.6160908767224762,0.6100818643581324,0.05385941611534179,0.5252608898387932,0.05989284320926804
10,0.6195549058920677,0.6129269425800828,0.05361587754681027,0.5278604309356645,0.05972863973012606
11,0.6209587299396875,0.613682195959472,0.0535168661244815,0.5252165196642018,0.05989564200313508
12,0.622282547697097,0.6143584053410921,0.0534233294172318,0.5271931171932102,0.05977083452919303
