variable,component_1,component_2
block1_age_18_34_share,-0.011283497309992056,-0.5283854662522487
block1_age_65_plus_share,0.033930974401985,0.8118085343193033
block1_average_household_size,-0.35997705876469277,-0.053346534568247894
block1_bachelors_or_higher_25_64_share,0.4380046424428175,-0.009969304645039777
block1_low_income_lim_at_share,-0.20322607624343336,0.12888496358525225
block2_renter_share,-0.036880022546840356,-0.19179253972853663
block2_same_address_5yr_share,-0.13357997856372011,0.25022867554400346
block2_apartment_share,0.03152815774704365,0.01597864789587562
block2_condo_share,0.03145359616444252,0.12277962766431076
block2_population_density_per_km2,0.06726356663408978,-0.12413185109742929
block3_citizen_adult_share,0.3130242438109032,0.03278069928354635
block3_immigrant_share,-0.5026715887668884,0.2510902752176269
block3_visible_minority_share,-0.5161451181688538,0.04500588687389639
block5_tts_no_car_household_share,0.16331366256536137,-0.21773331776056257
