screen,screened_predictor_count,n_components,train_r2,cv_r2,cv_rmse,variables
all_14,14,4,0.39121982186905013,0.3626528089174549,0.07365364534863299,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
all_14,14,5,0.3913001314270246,0.3608644679812735,0.07375690583453384,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
all_14,14,6,0.3966742505757186,0.3604353222531159,0.07378166361126505,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
top_10_corr,10,3,0.38439927699482823,0.3558900234126591,0.07404337754787267,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2
top_10_corr,10,4,0.3843993709869241,0.3534530780820708,0.07418331429904533,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2
all_14,14,7,0.3973558939342591,0.35327511793471733,0.07419352296665384,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
corr_ge_0.10,11,3,0.3810943380629923,0.35283995672566104,0.07421848003479262,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2; block2_same_address_5yr_share
top_12_corr,12,4,0.38314078800173734,0.35167994328643015,0.07428496736612615,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2; block2_same_address_5yr_share; block2_condo_share
corr_ge_0.10,11,4,0.38170310265633844,0.3511080366222572,0.07431772487716576,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2; block2_same_address_5yr_share
top_10_corr,10,5,0.38451964144234485,0.3504348614142295,0.07435626432917619,block3_visible_minority_share; block3_immigrant_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block3_citizen_adult_share; block5_tts_no_car_household_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block2_apartment_share; block2_population_density_per_km2
