model_id,term,coefficient,std_error,z_value,p_value,significance
A_municipal_turnout__full,intercept,0.383154,0.0306512,12.5005,0,***
A_municipal_turnout__full,block1_age_18_34_share,-0.286682,0.0575563,-4.98091,6.32871e-07,***
A_municipal_turnout__full,block1_average_household_size,-0.0322343,0.0172182,-1.87211,0.0611917,.
A_municipal_turnout__full,block1_bachelors_or_higher_25_64_share,0.116505,0.0313436,3.71703,0.000201582,***
A_municipal_turnout__full,block1_low_income_lim_at_share,0.108282,0.0941852,1.14967,0.25028,
A_municipal_turnout__full,block1_unemployment_rate_share,-0.233529,0.102058,-2.28821,0.0221255,*
A_municipal_turnout__full,block2_renter_share,-0.0419552,0.022981,-1.82564,0.0679041,.
A_municipal_turnout__full,block2_apartment_share,0.0333907,0.0213068,1.56714,0.117083,
A_municipal_turnout__full,block3_visible_minority_share,-0.0829032,0.036004,-2.30261,0.0213006,*
A_municipal_turnout__full,block3_non_citizen_share,-0.0672229,0.0696136,-0.965657,0.334216,
A_municipal_turnout__full,block3_immigrant_share,-0.102981,0.0580569,-1.77379,0.0760971,.
A_municipal_turnout__full,block4_mayoral_top_two_margin,-0.070353,0.0372543,-1.88845,0.0589651,.
A_municipal_turnout__full,block4_effective_mayoral_candidates_5pct,-0.0409722,0.00816028,-5.02093,5.14215e-07,***
A_municipal_turnout__full,block5_school_age_5_17_share,0.0509244,0.126687,0.401971,0.687705,
A_municipal_turnout__full,block5_park_access_1200m,0.383154,0.0306512,12.5005,0,***
A_municipal_turnout__full,block5_transit_commute_share_preferred,-0.0182503,0.0389824,-0.468167,0.639665,
A_municipal_turnout__full,block5_social_housing_share,-0.0145995,0.0214396,-0.680959,0.495898,
A_municipal_turnout__full,block5_development_applications_2021_2025_per_1000,-0.000374267,0.000301839,-1.23996,0.214992,
A_municipal_turnout__full,block5_ksi_collision_events_2021_2025_per_1000,0.00703292,0.00166058,4.23523,2.28313e-05,***
B_provincial_turnout__full,intercept,0.385245,0.0362727,10.6208,0,***
B_provincial_turnout__full,block1_age_18_34_share,-0.147022,0.0694778,-2.1161,0.0343366,*
B_provincial_turnout__full,block1_average_household_size,-0.0542519,0.0215009,-2.52324,0.011628,*
B_provincial_turnout__full,block1_bachelors_or_higher_25_64_share,0.0164272,0.035346,0.464754,0.642108,
B_provincial_turnout__full,block1_low_income_lim_at_share,-0.0838431,0.116906,-0.717185,0.47326,
B_provincial_turnout__full,block1_unemployment_rate_share,-0.16168,0.130075,-1.24298,0.213877,
B_provincial_turnout__full,block2_renter_share,-0.0743045,0.0286791,-2.59089,0.00957283,**
B_provincial_turnout__full,block2_apartment_share,0.101426,0.0265899,3.81446,0.000136482,***
