model_id,ct_id,observed,spatial_residual,spatial_filtered_residual
E_mean_turnout__updated_trimmed,5350001.00,0.522386,-0.0599315,-0.0585339
E_mean_turnout__updated_trimmed,5350002.00,0.726515,0.085438,0.0696875
E_mean_turnout__updated_trimmed,5350003.00,0.814117,0.0159856,0.0107116
E_mean_turnout__updated_trimmed,5350004.00,0.500438,-0.0516031,-0.0620518
E_mean_turnout__updated_trimmed,5350005.00,0.508339,-0.0437842,-0.0273056
E_mean_turnout__updated_trimmed,5350006.00,0.521123,-0.031391,-0.0262218
E_mean_turnout__updated_trimmed,5350007.01,0.555531,-0.00984995,0.00110761
E_mean_turnout__updated_trimmed,5350007.02,0.524209,0.0110334,0.0213947
E_mean_turnout__updated_trimmed,5350008.01,0.527306,-0.0355507,-0.0108834
E_mean_turnout__updated_trimmed,5350008.02,0.529196,-0.0255194,-0.00554366
E_mean_turnout__updated_trimmed,5350009.00,0.30411,-0.228269,-0.153756
E_mean_turnout__updated_trimmed,5350010.01,0.476073,-0.141986,-0.105775
E_mean_turnout__updated_trimmed,5350010.02,0.538974,-0.0632513,-0.0435546
E_mean_turnout__updated_trimmed,5350011.01,0.504677,-0.0661874,-0.0485169
E_mean_turnout__updated_trimmed,5350011.02,0.488602,-0.0515709,-0.0308852
E_mean_turnout__updated_trimmed,5350011.03,0.502885,-0.0291438,0.0139971
E_mean_turnout__updated_trimmed,5350012.01,0.489286,-0.0428294,-0.0102881
E_mean_turnout__updated_trimmed,5350012.03,0.429688,-0.111399,-0.0892558
E_mean_turnout__updated_trimmed,5350012.04,0.506237,-0.0777895,-0.0653784
E_mean_turnout__updated_trimmed,5350013.01,0.601673,0.0296177,0.0624282
E_mean_turnout__updated_trimmed,5350013.02,0.61605,0.0300128,0.0435966
E_mean_turnout__updated_trimmed,5350014.00,0.434838,-0.139041,-0.126734
E_mean_turnout__updated_trimmed,5350015.00,0.541313,-0.0577339,-0.0415387
E_mean_turnout__updated_trimmed,5350016.00,0.565101,-0.0264076,-0.0180722
E_mean_turnout__updated_trimmed,5350017.01,0.599865,0.0051723,0.0227366
E_mean_turnout__updated_trimmed,5350017.02,0.499348,-0.0552872,-0.0532574
E_mean_turnout__updated_trimmed,5350018.00,0.595905,0.0077502,0.0177089
E_mean_turnout__updated_trimmed,5350019.00,0.585833,0.0117895,0.0212423
E_mean_turnout__updated_trimmed,5350020.00,0.621448,-0.00467156,0.00637031
E_mean_turnout__updated_trimmed,5350021.00,0.58086,-0.0304333,-0.0233012
E_mean_turnout__updated_trimmed,5350022.00,0.649436,0.0482191,0.0488718
E_mean_turnout__updated_trimmed,5350023.00,0.572166,-0.0372032,-0.0526577
E_mean_turnout__updated_trimmed,5350024.00,0.600699,-0.00260311,-0.0123018
E_mean_turnout__updated_trimmed,5350025.00,0.67677,0.0975131,0.0860928
E_mean_turnout__updated_trimmed,5350026.00,0.567826,-0.00558643,-0.0148693
E_mean_turnout__updated_trimmed,5350027.00,0.590501,0.0282885,0.0289841
E_mean_turnout__updated_trimmed,5350028.01,0.566246,-0.0484379,-0.0514555
E_mean_turnout__updated_trimmed,5350028.02,0.564806,-0.0434981,-0.0464899
E_mean_turnout__updated_trimmed,5350029.00,0.590718,0.046958,0.0535164
E_mean_turnout__updated_trimmed,5350030.00,0.490344,-0.0374561,-0.0308095
E_mean_turnout__updated_trimmed,5350031.00,0.545707,0.0226995,0.0314621
E_mean_turnout__updated_trimmed,5350032.00,0.475699,-0.0542527,-0.0403501
E_mean_turnout__updated_trimmed,5350033.00,0.446736,-0.0727378,-0.0585349
E_mean_turnout__updated_trimmed,5350034.01,0.542821,-0.0317526,-0.0159614
E_mean_turnout__updated_trimmed,5350034.02,0.521264,-0.00923253,0.0151222
E_mean_turnout__updated_trimmed,5350035.00,0.566659,0.0570677,0.0657934
E_mean_turnout__updated_trimmed,5350036.00,0.540786,-0.0152247,-0.00427073
E_mean_turnout__updated_trimmed,5350037.00,0.527228,0.0234547,-0.00101714
E_mean_turnout__updated_trimmed,5350038.00,0.503346,-0.0223465,-0.0477714
E_mean_turnout__updated_trimmed,5350039.00,0.558363,0.0525135,0.0644906
E_mean_turnout__updated_trimmed,5350040.00,0.526484,-0.00846511,0.00563091
E_mean_turnout__updated_trimmed,5350041.00,0.580193,0.0210109,0.0140733
E_mean_turnout__updated_trimmed,5350042.00,0.591283,0.0151153,0.0149597
E_mean_turnout__updated_trimmed,5350043.00,0.501463,-0.0829,-0.0664298
E_mean_turnout__updated_trimmed,5350044.01,0.532925,-0.0542057,-0.0353682
E_mean_turnout__updated_trimmed,5350044.02,0.578954,-0.0185164,0.00883948
E_mean_turnout__updated_trimmed,5350045.00,0.533868,-0.0326422,-0.0222141
E_mean_turnout__updated_trimmed,5350046.00,0.539564,-0.0281117,-0.0322808
E_mean_turnout__updated_trimmed,5350047.02,0.601339,0.0456642,0.0588019
E_mean_turnout__updated_trimmed,5350047.03,0.655577,0.0220026,0.0124014
E_mean_turnout__updated_trimmed,5350047.04,0.576961,-0.0275885,-0.0384556
E_mean_turnout__updated_trimmed,5350048.00,0.650872,0.0529617,0.034746
E_mean_turnout__updated_trimmed,5350049.00,0.733388,0.131736,0.117886
E_mean_turnout__updated_trimmed,5350050.01,0.639493,0.00803988,0.0119292
E_mean_turnout__updated_trimmed,5350050.03,0.593945,-0.0213862,-0.044757
E_mean_turnout__updated_trimmed,5350050.04,0.52531,-0.0533609,-0.0564895
E_mean_turnout__updated_trimmed,5350051.00,0.742145,0.135996,0.104707
E_mean_turnout__updated_trimmed,5350052.00,0.708128,0.0990037,0.0846874
E_mean_turnout__updated_trimmed,5350053.00,0.543961,-0.0321573,-0.0434227
E_mean_turnout__updated_trimmed,5350054.00,0.608359,0.0324711,0.0350455
E_mean_turnout__updated_trimmed,5350055.00,0.604471,0.010693,0.00133456
E_mean_turnout__updated_trimmed,5350056.00,0.606343,0.0421321,0.0233449
E_mean_turnout__updated_trimmed,5350057.00,0.631909,0.0692197,0.050869
E_mean_turnout__updated_trimmed,5350058.00,0.648931,0.0658123,0.0544328
E_mean_turnout__updated_trimmed,5350059.00,0.610225,0.0438951,0.0180683
E_mean_turnout__updated_trimmed,5350060.00,0.544519,-0.0172398,-0.046201
E_mean_turnout__updated_trimmed,5350061.00,0.717361,0.204583,0.209423
E_mean_turnout__updated_trimmed,5350062.01,0.601311,0.0309821,0.0604755
E_mean_turnout__updated_trimmed,5350062.03,0.520336,0.00593152,0.00063684
E_mean_turnout__updated_trimmed,5350062.04,0.498803,-0.0640269,-0.0618229
E_mean_turnout__updated_trimmed,5350063.03,0.538816,-0.0855743,-0.0647741
E_mean_turnout__updated_trimmed,5350063.04,0.531946,-0.0284604,0.00199909
E_mean_turnout__updated_trimmed,5350063.05,0.502875,-0.0649379,-0.0389414
E_mean_turnout__updated_trimmed,5350063.06,0.498721,-0.0832273,-0.0692301
E_mean_turnout__updated_trimmed,5350064.00,0.560337,-0.011636,0.0203307
E_mean_turnout__updated_trimmed,5350065.01,0.449464,-0.0753868,-0.0571219
E_mean_turnout__updated_trimmed,5350065.02,0.502194,-0.0563784,-0.0291187
E_mean_turnout__updated_trimmed,5350066.00,0.587424,-0.0285005,-0.00594605
E_mean_turnout__updated_trimmed,5350067.00,0.635301,0.00279424,0.0112538
E_mean_turnout__updated_trimmed,5350068.00,0.636337,0.0193188,0.0100775
E_mean_turnout__updated_trimmed,5350069.00,0.597629,-0.00201345,-0.0113332
E_mean_turnout__updated_trimmed,5350070.00,0.677483,0.0504604,0.0552073
E_mean_turnout__updated_trimmed,5350071.00,0.620682,0.0228878,0.0100389
E_mean_turnout__updated_trimmed,5350072.01,0.589471,0.0426376,0.0371992
E_mean_turnout__updated_trimmed,5350072.02,0.589843,0.0143977,-0.00700585
E_mean_turnout__updated_trimmed,5350073.00,0.545901,-0.00442861,-0.016427
E_mean_turnout__updated_trimmed,5350074.00,0.601702,0.0350964,0.00990454
E_mean_turnout__updated_trimmed,5350075.00,0.68179,0.0894868,0.0635055
E_mean_turnout__updated_trimmed,5350076.00,0.710459,0.126504,0.0955729
E_mean_turnout__updated_trimmed,5350077.00,0.624468,0.037853,0.00586353
E_mean_turnout__updated_trimmed,5350078.00,0.640053,0.0440474,0.0225476
E_mean_turnout__updated_trimmed,5350079.00,0.672999,0.0880134,0.0866823
E_mean_turnout__updated_trimmed,5350080.01,0.623113,0.0396337,0.012907
E_mean_turnout__updated_trimmed,5350080.02,0.497028,-0.0219657,-0.0338426
E_mean_turnout__updated_trimmed,5350081.00,0.677418,0.104723,0.0712097
E_mean_turnout__updated_trimmed,5350082.00,0.643018,0.0617411,0.0278908
E_mean_turnout__updated_trimmed,5350083.00,0.620735,0.0201754,0.00356348
E_mean_turnout__updated_trimmed,5350084.00,0.619278,0.0111588,0.000957017
E_mean_turnout__updated_trimmed,5350085.00,0.625589,0.0160911,0.0235522
E_mean_turnout__updated_trimmed,5350086.00,0.536401,-0.0709507,-0.0501214
E_mean_turnout__updated_trimmed,5350087.00,0.559576,-0.105189,-0.095386
E_mean_turnout__updated_trimmed,5350088.00,0.622923,-0.00991393,0.0225309
E_mean_turnout__updated_trimmed,5350089.00,0.502346,-0.121027,-0.124131
E_mean_turnout__updated_trimmed,5350090.00,0.572115,-0.0648263,-0.0409281
E_mean_turnout__updated_trimmed,5350091.01,0.538032,-0.0604106,-0.0650469
E_mean_turnout__updated_trimmed,5350091.02,0.572026,-0.0269238,-0.0147686
E_mean_turnout__updated_trimmed,5350092.00,0.58949,0.00768242,-0.0118476
E_mean_turnout__updated_trimmed,5350093.00,0.655425,0.0555186,0.034043
E_mean_turnout__updated_trimmed,5350094.00,0.59802,0.046971,0.0186323
E_mean_turnout__updated_trimmed,5350095.00,0.596176,0.021774,0.00571222
E_mean_turnout__updated_trimmed,5350096.01,0.596164,0.0418647,0.0330199
E_mean_turnout__updated_trimmed,5350096.02,0.565115,-0.000992867,-0.0105099
E_mean_turnout__updated_trimmed,5350097.01,0.515586,-0.0161285,-0.0203569
E_mean_turnout__updated_trimmed,5350097.03,0.54346,-0.00821903,-0.0154423
E_mean_turnout__updated_trimmed,5350097.04,0.526953,-0.0277295,-0.0213408
E_mean_turnout__updated_trimmed,5350098.00,0.645467,0.0686944,0.0653436
E_mean_turnout__updated_trimmed,5350099.00,0.614431,0.0264414,0.0161246
E_mean_turnout__updated_trimmed,5350100.00,0.664826,0.0407101,0.0492955
E_mean_turnout__updated_trimmed,5350101.00,0.5548,-0.0335967,-0.0223506
E_mean_turnout__updated_trimmed,5350102.02,0.676211,0.073312,0.0904967
E_mean_turnout__updated_trimmed,5350102.03,0.672772,0.0623195,0.0614999
E_mean_turnout__updated_trimmed,5350102.04,0.538838,-0.0623385,-0.0581098
E_mean_turnout__updated_trimmed,5350102.05,0.461439,-0.142655,-0.152001
E_mean_turnout__updated_trimmed,5350103.00,0.629413,0.000331866,0.00294323
E_mean_turnout__updated_trimmed,5350104.00,0.634098,0.0368608,0.0283345
E_mean_turnout__updated_trimmed,5350105.00,0.620409,0.0256775,0.0196418
E_mean_turnout__updated_trimmed,5350106.00,0.437513,-0.0381743,-0.0413598
E_mean_turnout__updated_trimmed,5350107.00,0.52961,0.0166479,0.0435735
E_mean_turnout__updated_trimmed,5350108.00,0.540438,0.0211329,0.0240712
E_mean_turnout__updated_trimmed,5350109.00,0.509499,-0.0351427,-0.0522508
E_mean_turnout__updated_trimmed,5350110.00,0.53599,-0.0380845,-0.0366218
E_mean_turnout__updated_trimmed,5350111.00,0.490417,-0.0512226,-0.0525461
E_mean_turnout__updated_trimmed,5350112.00,0.52917,-0.0149228,-0.0164873
E_mean_turnout__updated_trimmed,5350113.00,0.612523,0.0467838,0.0351504
E_mean_turnout__updated_trimmed,5350114.00,0.662123,0.0713073,0.0358842
E_mean_turnout__updated_trimmed,5350115.00,0.646213,0.106851,0.0863012
E_mean_turnout__updated_trimmed,5350116.00,0.659117,0.0718098,0.047395
E_mean_turnout__updated_trimmed,5350117.00,0.590254,0.00116026,-6.89001e-05
E_mean_turnout__updated_trimmed,5350118.00,0.609275,0.00716585,-0.0116811
E_mean_turnout__updated_trimmed,5350119.00,0.566774,-0.0322737,-0.0370011
E_mean_turnout__updated_trimmed,5350120.00,0.62259,0.000584599,0.016832
E_mean_turnout__updated_trimmed,5350121.00,0.675983,0.0318574,0.0425261
E_mean_turnout__updated_trimmed,5350122.00,0.595055,-0.0277928,-0.0272839
E_mean_turnout__updated_trimmed,5350123.00,0.576518,0.0148242,0.00654393
E_mean_turnout__updated_trimmed,5350124.00,0.604626,-0.0218355,-0.014696
E_mean_turnout__updated_trimmed,5350125.00,0.625966,0.00698716,0.0136136
E_mean_turnout__updated_trimmed,5350126.00,0.647974,0.0631478,0.0523684
E_mean_turnout__updated_trimmed,5350127.00,0.659717,0.091603,0.0685571
E_mean_turnout__updated_trimmed,5350128.02,0.631216,0.0714473,0.0516357
E_mean_turnout__updated_trimmed,5350128.04,0.669742,0.0405389,0.0278027
E_mean_turnout__updated_trimmed,5350128.05,0.628101,0.0466434,0.0208968
E_mean_turnout__updated_trimmed,5350128.06,0.623035,0.0318856,0.00558819
E_mean_turnout__updated_trimmed,5350129.00,0.553783,-0.0127813,-0.0289394
E_mean_turnout__updated_trimmed,5350130.00,0.584249,0.0143904,0.0227765
E_mean_turnout__updated_trimmed,5350131.00,0.581644,-0.0211437,-0.0340265
E_mean_turnout__updated_trimmed,5350132.00,0.563709,-0.0253004,-0.0453693
E_mean_turnout__updated_trimmed,5350133.00,0.583521,0.0140925,0.0117932
E_mean_turnout__updated_trimmed,5350134.00,0.610529,0.0259792,0.0178151
E_mean_turnout__updated_trimmed,5350135.00,0.583281,0.0232826,0.0171105
E_mean_turnout__updated_trimmed,5350136.01,0.517042,-0.0577938,-0.0710268
E_mean_turnout__updated_trimmed,5350136.02,0.593033,0.0306226,0.0185961
E_mean_turnout__updated_trimmed,5350137.00,0.595994,0.0217419,0.0110223
E_mean_turnout__updated_trimmed,5350138.00,0.565942,-0.0252085,-0.025472
E_mean_turnout__updated_trimmed,5350139.01,0.589194,-0.0224365,-0.0223936
E_mean_turnout__updated_trimmed,5350139.02,0.633593,0.0566182,0.0573535
E_mean_turnout__updated_trimmed,5350140.00,0.546509,-0.031766,-0.037501
E_mean_turnout__updated_trimmed,5350141.01,0.618077,0.0361676,0.0409538
E_mean_turnout__updated_trimmed,5350141.02,0.616829,0.0293079,0.0290286
E_mean_turnout__updated_trimmed,5350142.00,0.602642,0.0105962,0.0177108
E_mean_turnout__updated_trimmed,5350150.00,0.63597,0.038114,0.0243849
E_mean_turnout__updated_trimmed,5350151.00,0.607606,0.0831174,0.0701719
