variable_name,n,missing_count,min,median,mean,max
ct_id,585,0,5350001,5350239,5350221.538,5350802.02
ctuid,585,0,5350001,5350239,5350221.538,5350802.02
geo_name,585,0,1,239,221.5378974,802.02
census_year,585,0,2021,2021,2021,2021
population_total,585,0,119,4653,4776.676923,13554
population_18plus,585,0,120,3875,3984.803419,12270
citizen_canadian_18plus_count,583,2,205,3110,3207.692967,8605
land_area_km2,585,0,0.01,0.75,1.078769231,19.91
block1_age_18_34_share,585,0,0,0.2315541601,0.2499352347,0.7003591585
block1_age_35_64_share,585,0,0.0581395349,0.3952191235,0.3920552962,0.5166666667
block1_age_65_plus_share,585,0,0.0224056604,0.1703601108,0.1793322588,0.9186046512
block1_median_age,585,0,28.2,41.2,41.54410256,85
block1_average_household_size,583,2,1.4,2.5,2.505831904,4.1
block1_bachelors_or_higher_25_64_share,583,2,0.0825515947,0.4829157175,0.4864747169,0.8669950739
block1_low_income_lim_at_share,583,2,0.0355239787,0.1153846154,0.1287212736,0.4516129032
block1_unemployment_rate_share,583,2,0,0.14,0.1404751286,0.26
block2_renter_share,583,2,0.0501930502,0.4298245614,0.4409030111,1
block2_owner_share,583,2,0,0.5693779904,0.5588458554,0.9498069498
block2_same_address_1yr_share,583,2,0.5162601626,0.9003021148,0.8777087791,0.971722365
block2_same_address_5yr_share,583,2,0.1117647059,0.6846089151,0.6446252323,0.88
block2_condo_share,583,2,0,0.1154529307,0.2338274652,1
block2_apartment_share,583,2,0.0190114068,0.5757575758,0.5732609315,1
block2_detached_share,583,2,0,0.2231404959,0.2874600914,0.9649122807
block2_semi_detached_share,583,2,0,0.0299065421,0.07404743277,0.714801444
block2_population_density_per_km2,585,0,87.8,5740.9,8446.46359,77545.3
block3_immigrant_share,583,2,0.1483050847,0.4667988107,0.4565525595,0.9454545455
block3_recent_immigrant_share,583,2,0,0.058269066,0.06596884419,0.2241169306
block3_non_citizen_share,583,2,0.0084745763,0.1517615176,0.1625133754,0.5035629454
block3_citizen_adult_share,583,2,0.4183673469,0.8228882834,0.8129204549,1.011299435
block3_visible_minority_share,583,2,0.0166666667,0.5309033281,0.5366188117,0.9886968085
block3_english_french_knowledge_share,584,1,0.564516129,0.966490324,0.9539512905,1
block3_non_official_mother_tongue_share,584,1,0.0826446281,0.4105927449,0.4113069692,0.935483871
block5_census_transit_commute_share,582,3,0.0322580645,0.246381782,0.2542401783,0.5229226361
block5_school_age_5_17_share,585,0,0,0.1257253385,0.1231551267,0.2658146965
outcome_municipal_participation_citizen_18plus,583,2,0.1015703984,0.374222144,0.3891934366,0.8268358397
outcome_municipal_turnout_electors,583,2,0.1414008874,0.3662793466,0.3742760406,1.461560883
municipal_estimated_total_votes,585,0,0,1173.184277,1238.697436,3732.233269
municipal_estimated_electors,585,0,0,3212.000206,3328.618803,10988.47711
outcome_provincial_participation_citizen_18plus,583,2,0.2213572805,0.4728740374,0.4749438192,0.9733586464
outcome_provincial_turnout_electors,584,1,0.1341463415,0.4247507078,0.425969098,0.6003158074
provincial_estimated_total_votes,585,0,0,1456.369438,1522.784615,4549.231899
provincial_estimated_electors,585,0,0,3464.794774,3574.290598,11989.38181
outcome_federal_participation_citizen_18plus,583,2,0.4765427402,0.6957296304,0.7035420765,1.211840164
outcome_federal_turnout_electors,583,2,0.4282935677,0.645793014,0.6494540697,0.9600732335
federal_estimated_total_votes,585,0,0,2148.65364,2253.955556,6885.838021
federal_estimated_electors,585,0,0,3360.403272,3467.145299,9595.220119
outcome_mean_participation_citizen_18plus,583,2,0.3041095723,0.5211230083,0.5225597774,0.9792530237
block4_mayoral_top_two_margin,583,2,0.00028743547,0.1444292973,0.1644255169,0.682286096
block4_mayoral_winner_margin,583,2,0.00028743547,0.1444292973,0.1644255169,0.682286096
block4_effective_mayoral_candidates_5pct,583,2,1.625966045,3.779303075,3.777982943,5.899683298
block4_mayoral_candidate_count_5pct,583,2,2,4,3.725557461,6
block4_mayoral_vote_fragmentation,583,2,0.3849810067,0.7354009508,0.7253819553,0.8304993761
block4_provincial_margin,584,1,2.407215374e-05,0.118205138,0.1516384612,0.7189041711
block4_effective_provincial_parties_5pct,584,1,1.543571833,2.517232704,2.60300948,3.368322523
block4_provincial_party_count_5pct,584,1,2,3,2.880136986,4
block4_provincial_vote_fragmentation,584,1,0.3521519513,0.6027383462,0.6094766151,0.7031163158
block4_federal_margin,583,2,0.0004358898358,0.2530494864,0.2489771979,0.5521559851
block4_effective_federal_parties_5pct,583,2,1.819332332,2.091965786,2.115736792,2.718805634
block4_federal_party_count_5pct,583,2,2,2,2.382504288,3
block4_federal_vote_fragmentation,583,2,0.4503478103,0.5219807099,0.5251509507,0.6321914346
block5_tts_no_car_household_share,585,0,5.913413893e-05,0.2138652196,0.2443532487,0.8049359205
block5_tts_transit_trip_share,585,0,0.01171152025,0.1709572875,0.1814166104,0.4306835997
block5_tts_overlap_area_m2,585,0,458.681073,784031.8939,1130095.511,21176338.97
block5_library_nearest_m,585,0,98.5336577,860.9351235,967.7150908,3449.311495
block5_library_count_1200m,585,0,0,1,1.044444444,4
block5_library_access_1200m,585,0,0,1,0.7264957265,1
block5_community_centre_nearest_m,585,0,32.19080533,632.7434113,685.5672129,3068.563579
block5_community_centre_count_1200m,585,0,0,2,2.273504274,10
block5_community_centre_access_1200m,585,0,0,1,0.9145299145,1
block5_park_nearest_m,585,0,0,109.3115145,135.1759511,684.355751
block5_park_count_1200m,585,0,3,26,27.9982906,68
block5_park_access_1200m,585,0,1,1,1,1
block5_shelter_nearest_m,585,0,28.10402441,1902.847135,2341.234389,8553.495881
block5_shelter_count_1200m,585,0,0,0,0.8478632479,13
block5_shelter_access_1200m,585,0,0,0,0.3162393162,1
block5_ksi_collision_events_2021_2025,585,0,0,2,2.447863248,33
block5_development_applications_2021_2025,585,0,0,4,12.48034188,157
block5_ksi_collision_events_2021_2025_per_1000,585,0,0,0.377786173,0.6283276017,26.25820569
block5_development_applications_2021_2025_per_1000,585,0,0,0.8354218881,2.98233027,158.5976628
block5_requests_311_2023_2025_estimated_count,585,0,57.2998454,1806.963509,2310.376068,26899.68655
block5_requests_311_2023_2025_citywide_total,585,0,1351594,1351594,1351594,1351594
block5_requests_311_missing_ward_count,585,0,24,24,24,24
block5_requests_311_area_allocation_weight,585,0,0.0008365429427,0.03381674737,0.04273504273,0.3745281001
block5_requests_311_per_1000,585,0,38.1684792,431.4085823,687.7782137,44907.657
block5_transit_commute_share_preferred,585,0,0.01171152025,0.1709572875,0.1814166104,0.4306835997
block5_no_car_household_share,585,0,5.913413893e-05,0.2138652196,0.2443532487,0.8049359205
block5_social_housing_share,583,2,0,0.059,0.1250308748,0.811
