_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1,689,705,MCNICOLL PARK,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground, Sports Field, Tennis Court",215 McNicoll Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=689,"{""coordinates"": [[-79.3532864284025, 43.7986097905353]], ""type"": ""MultiPoint""}"
2,692,592,KNOTT PARK,Park,"Playground, Sports Field",1 A Deblyn Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=692,"{""coordinates"": [[-79.2916174006982, 43.7977040318531]], ""type"": ""MultiPoint""}"
3,961,888,CYNTHIA LAI PARK,Park,"Basketball Court, Playground",1051 Progress Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=961,"{""coordinates"": [[-79.2335250203116, 43.7933472032765]], ""type"": ""MultiPoint""}"
4,3628,58886,CUDMORE CREEK PARK,Park,Playground,250 Manor Rd E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3628,"{""coordinates"": [[-79.3851583446806, 43.7052739241272]], ""type"": ""MultiPoint""}"
5,1026,944,SHEPPARD EAST PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",229 Glendora Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1026,"{""coordinates"": [[-79.3964102564702, 43.7634431473978]], ""type"": ""MultiPoint""}"
6,708,727,MAJOR ABBAS ALI PARK,Park,"Sports Field, Tennis Court",180 McLevin Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=708,"{""coordinates"": [[-79.2306931511991, 43.8048478247522]], ""type"": ""MultiPoint""}"
7,592,143,BURROWS HALL PARK,Park,"Ball Diamond, Playground",239 Burrows Hall Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=592,"{""coordinates"": [[-79.2265009937002, 43.793387794776]], ""type"": ""MultiPoint""}"
8,759,962,SKYMARK PARK,Park,"Playground, Sports Field",3500 Don Mills Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=759,"{""coordinates"": [[-79.3558724693465, 43.7945873260475]], ""type"": ""MultiPoint""}"
9,1080,582,KING'S MILL PARK,Park,Dog Off-Leash Area,9 Catherine St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1080,"{""coordinates"": [[-79.4941073061776, 43.6461317886788]], ""type"": ""MultiPoint""}"
10,1886,1054,TRAYMORE PARK,Park,"Outdoor Fitness Equipment, Playground",5 Traymore Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1886,"{""coordinates"": [[-79.4885424140218, 43.6483596365898]], ""type"": ""MultiPoint""}"
11,493,207,CLIFFWOOD PARK,Park,"Ball Diamond, Pickleball Court, Playground, Sports Field, Tennis Court",280 Cliffwood Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=493,"{""coordinates"": [[-79.3550893936359, 43.8084161084248]], ""type"": ""MultiPoint""}"
12,972,920,SANWOOD PARK,Park,"Basketball Court, Playground",20 Sanwood Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=972,"{""coordinates"": [[-79.3102249187518, 43.8178297841523]], ""type"": ""MultiPoint""}"
13,2194,1067,DR. DANIEL HILL PARK,Park,Playground,25 Cassandra Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2194,"{""coordinates"": [[-79.327815630709, 43.7493687891733]], ""type"": ""MultiPoint""}"
14,1494,826,POINT ROUGE TRAIL PARK,Park,None,203 Staines Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1494,"{""coordinates"": [[-79.2201142249083, 43.8259580784185]], ""type"": ""MultiPoint""}"
15,968,1160,YORKWOODS PARK,Park,Playground,20 Yorkwoods Gt,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=968,"{""coordinates"": [[-79.5143635515435, 43.7514256192613]], ""type"": ""MultiPoint""}"
16,1492,828,PORT ROYAL PARK,Park,"Ball Diamond, Playground, Sports Field",50 Port Royal Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1492,"{""coordinates"": [[-79.2876178729155, 43.8177961118992]], ""type"": ""MultiPoint""}"
17,218,1310,FRANK STOLLERY PARKETTE,Park,None,1 Davenport Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=218,"{""coordinates"": [[-79.3882877861279, 43.6727145725911]], ""type"": ""MultiPoint""}"
18,2379,1571,WELLESLEY - MAGILL PARK,Park,None,125 Homewood Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2379,"{""coordinates"": [[-79.3758771511096, 43.6674809095383]], ""type"": ""MultiPoint""}"
19,101,538,JAMES CANNING GARDENS,Park,Playground,15 Gloucester St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=101,"{""coordinates"": [[-79.384167698471, 43.6663595834543]], ""type"": ""MultiPoint""}"
