geo_level,dguid,geo_id,geo_name,census_year,characteristic_code,characteristic_name,population_total,population_under18,population_18plus,value_status,source_symbol,source_table,method_note
CT,2021S05075350001.00,5350001.00,5350001.00,2021,population_18plus,Population aged 18 years and over,600,120,480,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350002.00,5350002.00,5350002.00,2021,population_18plus,Population aged 18 years and over,605,50,555,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350003.00,5350003.00,5350003.00,2021,population_18plus,Population aged 18 years and over,460,50,410,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350004.00,5350004.00,5350004.00,2021,population_18plus,Population aged 18 years and over,6310,715,5595,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350005.00,5350005.00,5350005.00,2021,population_18plus,Population aged 18 years and over,6950,760,6190,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350006.00,5350006.00,5350006.00,2021,population_18plus,Population aged 18 years and over,120,0,120,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350007.01,5350007.01,5350007.01,2021,population_18plus,Population aged 18 years and over,3400,345,3055,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350007.02,5350007.02,5350007.02,2021,population_18plus,Population aged 18 years and over,4425,470,3955,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350008.01,5350008.01,5350008.01,2021,population_18plus,Population aged 18 years and over,8480,425,8055,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350008.02,5350008.02,5350008.02,2021,population_18plus,Population aged 18 years and over,11595,905,10690,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350009.00,5350009.00,5350009.00,2021,population_18plus,Population aged 18 years and over,520,30,490,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350010.01,5350010.01,5350010.01,2021,population_18plus,Population aged 18 years and over,5610,565,5045,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350010.02,5350010.02,5350010.02,2021,population_18plus,Population aged 18 years and over,7470,650,6820,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350011.01,5350011.01,5350011.01,2021,population_18plus,Population aged 18 years and over,9590,520,9070,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350011.02,5350011.02,5350011.02,2021,population_18plus,Population aged 18 years and over,9745,370,9375,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350011.03,5350011.03,5350011.03,2021,population_18plus,Population aged 18 years and over,6390,325,6065,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350012.01,5350012.01,5350012.01,2021,population_18plus,Population aged 18 years and over,13555,1285,12270,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350012.03,5350012.03,5350012.03,2021,population_18plus,Population aged 18 years and over,8955,635,8320,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350012.04,5350012.04,5350012.04,2021,population_18plus,Population aged 18 years and over,5690,310,5380,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350013.01,5350013.01,5350013.01,2021,population_18plus,Population aged 18 years and over,6820,470,6350,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350013.02,5350013.02,5350013.02,2021,population_18plus,Population aged 18 years and over,10435,780,9655,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350014.00,5350014.00,5350014.00,2021,population_18plus,Population aged 18 years and over,2380,150,2230,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350015.00,5350015.00,5350015.00,2021,population_18plus,Population aged 18 years and over,4925,315,4610,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350016.00,5350016.00,5350016.00,2021,population_18plus,Population aged 18 years and over,11145,820,10325,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350017.01,5350017.01,5350017.01,2021,population_18plus,Population aged 18 years and over,4785,435,4350,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
CT,2021S05075350017.02,5350017.02,5350017.02,2021,population_18plus,Population aged 18 years and over,8710,885,7825,published,,98-10-0024-01,"Total - Age minus the published 0-to-14 aggregate and single-year counts for ages 15, 16, and 17; 100% Census data."
