poll_id,electoral_district_number,electoral_district_name,polling_division_number,polling_division_name,vote_type,number_of_votes,poll_total_candidate_votes,number_of_electors,proportion_of_turnout,party_canadians_choice_party_votes,party_communist_party_of_canada_ontario_votes,party_green_party_of_ontario_votes,party_independent_votes,party_new_blue_party_of_ontario_votes,party_new_democratic_party_of_ontario_votes,party_none_of_the_above_direct_democracy_party_votes,party_ontario_centrist_party_votes,party_ontario_liberal_party_votes,party_ontario_moderate_party_votes,party_ontario_party_votes,party_party_for_people_with_special_needs_votes,party_populist_party_ontario_votes,party_progress_party_ontario_votes,party_progressive_conservative_party_of_ontario_votes,vote_in_other_division,source_note
provincial_2025|007|1|election_day,007,Beaches—East York,001,O'Connor Public School,election_day,749,746,2719.0,0.2754689223979404,5,0,17,7,6,117,0,0,359,0,4,0,0,0,231,,
provincial_2025|007|2|election_day,007,Beaches—East York,002,Presteign Heights Elementary School,election_day,1102,1096,2519.0,0.4374751885668916,1,0,21,2,13,92,0,0,399,0,2,0,0,0,566,,
provincial_2025|007|3|election_day,007,Beaches—East York,003,Selwyn Elementary School,election_day,1103,1101,3031.0,0.36390630155064335,2,0,36,4,15,185,0,0,453,0,5,0,0,0,401,,
provincial_2025|007|4|election_day,007,Beaches—East York,004,Victoria Park Public School,election_day,952,947,2708.0,0.3515509601181684,3,0,26,8,6,149,0,0,395,0,2,0,0,0,358,,
provincial_2025|007|5|election_day,007,Beaches—East York,005,Canadian Martyrs Catholic School,election_day,1352,1348,3780.0,0.3576719576719577,3,0,49,6,3,296,0,0,609,0,1,0,0,0,381,,
provincial_2025|007|6|election_day,007,Beaches—East York,006,D.A. Morrison Middle School,election_day,1620,1616,4631.0,0.34981645432951847,3,0,61,5,9,412,0,0,785,0,5,0,0,0,336,,
provincial_2025|007|7|election_day,007,Beaches—East York,007,George Webster Elementary School,election_day,1457,1455,4567.0,0.31902780818918325,4,0,48,5,15,321,0,0,607,0,8,0,0,0,447,,
provincial_2025|007|8|election_day,007,Beaches—East York,008,St. Aidan's In The Beach,election_day,1344,1344,3485.0,0.38565279770444766,1,0,52,0,7,261,0,0,741,0,5,0,0,0,277,,
provincial_2025|007|9|election_day,007,Beaches—East York,009,St. Brigid Catholic School,election_day,1871,1863,4057.0,0.4611782105003697,3,0,71,1,10,557,0,0,918,0,6,0,0,0,297,,
provincial_2025|007|10|election_day,007,Beaches—East York,010,Terry Fox Community Centre,election_day,1545,1540,3995.0,0.3867334167709637,5,0,45,1,7,452,0,0,803,0,1,0,0,0,226,,
provincial_2025|007|11|election_day,007,Beaches—East York,011,Secord Community Centre,election_day,1070,1064,3578.0,0.2990497484628284,3,0,45,8,9,288,0,0,428,0,2,0,0,0,281,,
provincial_2025|007|12|election_day,007,Beaches—East York,012,Faith Presbyterian Community Church,election_day,569,567,1727.0,0.3294730746960046,4,0,20,3,1,193,0,0,223,0,1,0,0,0,122,,
provincial_2025|007|13|election_day,007,Beaches—East York,013,Crescent Town - Town Hall,election_day,1467,1460,4269.0,0.3436401967673928,12,0,27,9,5,343,0,0,711,0,6,0,0,0,347,,
provincial_2025|007|14|election_day,007,Beaches—East York,014,Danforth/Coxwell Library,election_day,962,960,2156.0,0.4461966604823748,2,0,25,3,6,288,0,0,497,0,3,0,0,0,136,,
provincial_2025|007|15|election_day,007,Beaches—East York,015,Main Square Community Recreation Centre,election_day,367,363,1287.0,0.2851592851592852,6,0,11,2,6,103,0,0,150,0,4,0,0,0,81,,
