Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alyson Koa,Peter Koubakis,Belent Mathew,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 1","Toronto",9,0,48,81,2,140,397
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 2","Toronto",2,4,78,83,2,169,512
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 3","Toronto",2,5,54,104,0,165,472
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 4","Toronto",3,3,95,99,0,200,451
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 5","Toronto",3,4,33,65,1,106,314
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 6","Toronto",4,0,50,65,0,119,336
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 7","Toronto",7,4,59,159,21,250,588
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 8","Toronto",6,4,83,94,9,196,483
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 9","Toronto",11,1,54,119,2,187,577
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 10","Toronto",7,4,75,77,1,164,429
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 11","Toronto",2,1,75,61,3,142,481
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 12","Toronto",4,1,77,92,2,176,552
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 13","Toronto",4,3,72,89,0,168,421
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 14","Toronto",8,5,87,85,1,186,417
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 15","Toronto",8,3,75,100,1,187,510
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 16","Toronto",10,3,68,102,0,183,452
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 17","Toronto",6,4,63,103,0,176,481
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 18","Toronto",1,1,77,94,3,176,455
35093,"Scarborough Centre--Don Valley East/Scarborough-Centre--Don Valley-Est"," 19","Toronto",5,5,60,75,1,146,466
