Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ahmed Hussen,Louise James,Nicolas Pham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 1","Toronto",79,10,122,0,211,419
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 2","Toronto",87,10,82,0,179,532
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 3","Toronto",92,5,136,2,235,470
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 4","Toronto",84,8,92,2,186,501
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 5","Toronto",99,3,112,1,215,547
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 6","Toronto",93,6,133,0,232,496
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 7","Toronto",59,2,104,0,165,530
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 8","Toronto",71,9,117,0,197,522
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 9","Toronto",92,5,147,1,245,535
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 10","Toronto",72,7,95,1,175,385
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 11","Toronto",70,9,72,0,151,453
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 12","Toronto",88,13,148,2,251,495
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 13","Toronto",87,3,91,5,186,459
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 14","Toronto",83,5,75,0,163,568
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 15","Toronto",57,13,55,3,128,395
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 16","Toronto",76,8,36,0,120,391
35122,"York South--Weston--Etobicoke/York-Sud--Weston--Etobicoke"," 17","Toronto",83,8,54,0,145,468
