Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 1","Toronto",N,N,"",0,511,"Chechuevskiy","","Wayne","Green Party","Parti Vert",N,N,0
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 1","Toronto",N,N,"",0,511,"Gasparro","","Vince","Liberal","Libéral",N,Y,74
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 1","Toronto",N,N,"",0,511,"Gleeson","","Timothy","People's Party - PPC","Parti populaire - PPC",N,N,0
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 1","Toronto",N,N,"",0,511,"Stintz","","Karen","Conservative","Conservateur",N,N,87
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 1","Toronto",N,N,"",0,511,"Tanzola","","Allison","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 2","Toronto",N,N,"",0,457,"Chechuevskiy","","Wayne","Green Party","Parti Vert",N,N,1
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 2","Toronto",N,N,"",0,457,"Gasparro","","Vince","Liberal","Libéral",N,Y,81
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 2","Toronto",N,N,"",0,457,"Gleeson","","Timothy","People's Party - PPC","Parti populaire - PPC",N,N,0
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 2","Toronto",N,N,"",0,457,"Stintz","","Karen","Conservative","Conservateur",N,N,80
35026,"Eglinton--Lawrence","Eglinton--Lawrence"," 2","Toronto",N,N,"",0,457,"Tanzola","","Allison","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
