model_id,predictor_order,variable,meeting_selected_flag
full_unfiltered_mean_pls,1,block1_age_18_34_share,True
full_unfiltered_mean_pls,2,block1_age_35_64_share,False
full_unfiltered_mean_pls,3,block1_age_65_plus_share,True
full_unfiltered_mean_pls,4,block1_median_age,False
full_unfiltered_mean_pls,5,block1_average_household_size,True
full_unfiltered_mean_pls,6,block1_bachelors_or_higher_25_64_share,True
full_unfiltered_mean_pls,7,block1_low_income_lim_at_share,True
full_unfiltered_mean_pls,8,block1_unemployment_rate_share,False
full_unfiltered_mean_pls,9,block2_renter_share,True
full_unfiltered_mean_pls,10,block2_owner_share,False
full_unfiltered_mean_pls,11,block2_same_address_1yr_share,False
full_unfiltered_mean_pls,12,block2_same_address_5yr_share,True
full_unfiltered_mean_pls,13,block2_condo_share,True
full_unfiltered_mean_pls,14,block2_apartment_share,True
full_unfiltered_mean_pls,15,block2_detached_share,False
full_unfiltered_mean_pls,16,block2_semi_detached_share,False
full_unfiltered_mean_pls,17,block2_population_density_per_km2,True
full_unfiltered_mean_pls,18,block3_immigrant_share,True
full_unfiltered_mean_pls,19,block3_recent_immigrant_share,False
full_unfiltered_mean_pls,20,block3_non_citizen_share,False
full_unfiltered_mean_pls,21,block3_citizen_adult_share,True
full_unfiltered_mean_pls,22,block3_visible_minority_share,True
full_unfiltered_mean_pls,23,block3_english_french_knowledge_share,False
full_unfiltered_mean_pls,24,block3_non_official_mother_tongue_share,False
full_unfiltered_mean_pls,25,block4_mayoral_top_two_margin,False
full_unfiltered_mean_pls,26,block4_effective_mayoral_candidates_5pct,False
full_unfiltered_mean_pls,27,block4_mayoral_vote_fragmentation,False
full_unfiltered_mean_pls,28,block4_federal_margin,False
full_unfiltered_mean_pls,29,block4_provincial_margin,False
full_unfiltered_mean_pls,30,block4_effective_federal_parties_5pct,False
full_unfiltered_mean_pls,31,block4_effective_provincial_parties_5pct,False
full_unfiltered_mean_pls,32,block5_transit_commute_share_preferred,False
