ct,component,score,mean_turnout,component_turnout_corr,side
47.03,component_1,3.6869017094297125,0.6555774963972124,0.6922518968697664,high side
87.0,component_1,3.432690948823457,0.559576273186234,0.6922518968697664,high side
102.04,component_1,3.349477139667697,0.538838486147169,0.6922518968697664,high side
377.06,component_1,-3.915274102502845,0.4315087400310493,0.6922518968697664,low side
194.01,component_1,-3.9074671618225505,0.4712958192162757,0.6922518968697664,low side
376.06,component_1,-3.8546309731974033,0.979253023666652,0.6922518968697664,low side
376.06,component_2,11.20471138132686,0.979253023666652,1.0922136004138046e-16,high side
205.0,component_2,9.267983126615361,0.5211230080416503,1.0922136004138046e-16,high side
6.0,component_2,8.176526390775292,0.5211230080416503,1.0922136004138046e-16,high side
11.02,component_2,-6.2591947469257345,0.4886016743313112,1.0922136004138046e-16,low side
62.04,component_2,-5.922972252213936,0.4988025021178534,1.0922136004138046e-16,low side
44.02,component_2,-5.605755434619288,0.5789544891303912,1.0922136004138046e-16,low side
