variable,block,family,turnout_corr,max_abs_predictor_corr,mean_abs_predictor_corr,high_corr_partner_count_abs_0_70,vif,vip,pls_coefficient
block1_age_18_34_share,block_1_demographic,age_structure,-0.1363918205210255,0.8270961411203559,0.3139046957064111,3,129.80351002030886,0.9317264899970373,-0.20310074399029424
block1_age_35_64_share,block_1_demographic,age_structure,0.1417238612857749,0.4744971175013455,0.15978934256242946,0,44.19109598957461,0.7078845584349927,-0.13367272410037026
block1_age_65_plus_share,block_1_demographic,age_structure,0.18188878083463494,0.9175790841824264,0.17871260979289513,1,146.30531734017183,1.2193891948939333,0.18742922074734297
block1_median_age,block_1_demographic,age_structure,0.23248153645505187,0.9175790841824264,0.22947645239149794,2,28.099261489710916,1.2683668552473406,-0.002260196453912365
block1_average_household_size,block_1_demographic,household_class,-0.48536841407453857,0.6973449352098243,0.32488509182531183,0,26.654583233668,1.8339381518465088,-0.05150360117076902
block1_bachelors_or_higher_25_64_share,block_1_demographic,household_class,0.5538356786177911,0.6766090197810282,0.20927303836300928,0,7.119389887088053,1.9845187827035138,0.058450874150587515
block1_low_income_lim_at_share,block_1_demographic,household_class,-0.1990786833648018,0.6531757487470211,0.2675524666619638,0,10.69084114012848,0.9191747323115741,-0.10646680371833546
block1_unemployment_rate_share,block_1_demographic,household_class,-0.5317019776053646,0.6766090197810282,0.1643071675484607,0,3.555956053452623,1.9343897368501286,-0.0026525534119159274
block2_renter_share,block_2_housing_stability,housing_tenure,-0.08117445841443101,0.9999159558963966,0.2846162897504614,2,8100.05501775414,0.6707614848568206,-0.03933512589233531
block2_owner_share,block_2_housing_stability,housing_tenure,0.07932901092629953,0.9999159558963966,0.28451047220684167,2,8033.195587601483,0.6660162010221498,0.03263849006055481
block2_same_address_1yr_share,block_2_housing_stability,residential_stability,-0.1563117233798801,0.9276607143751596,0.3258159707301865,5,13.103306872351876,0.7484721922475122,0.12160402218925803
block2_same_address_5yr_share,block_2_housing_stability,residential_stability,-0.11971872935080834,0.9276607143751596,0.3267381265692693,5,14.819169700786455,0.6442613174177084,-0.005542926841634935
block2_condo_share,block_2_housing_stability,housing_form_density,0.08381671008093962,0.82415950957327,0.23389729551909122,1,28.58583824320226,0.6642805610751094,0.00850544594204765
block2_apartment_share,block_2_housing_stability,housing_form_density,0.08861319366260975,0.8561123965482547,0.3330707807317337,4,30.686736130870575,0.8626403640796838,0.06566134001505292
block2_detached_share,block_2_housing_stability,housing_form_density,-0.046977374333349205,0.8561123965482547,0.3087983533327618,1,25.24596466103402,0.7424474869047339,0.004594698899329794
block2_semi_detached_share,block_2_housing_stability,housing_form_density,0.09451989008837919,0.3362661965636557,0.13670729005476948,0,6.726752519203425,0.5696319217048027,0.10636694922351961
block2_population_density_per_km2,block_2_housing_stability,housing_form_density,0.10150379616778125,0.9713634709525946,0.30452776260403774,2,47.93171527068756,0.744099922601799,1.9611257380462774e-06
block3_immigrant_share,block_3_immigration_eligibility,immigration_citizenship,-0.5732675189236403,0.9161702702303177,0.2128421366782179,2,34.65905105347215,2.0305779894299376,-0.06231924614494333
block3_recent_immigrant_share,block_3_immigration_eligibility,immigration_citizenship,-0.316963153797079,0.8986567733570553,0.26847864198269805,2,13.072078246341281,1.2265590306069127,-0.12835507558025633
block3_non_citizen_share,block_3_immigration_eligibility,immigration_citizenship,-0.41718961985339215,0.9128632621839659,0.27257430349320183,2,23.911934387416345,1.5343079872071526,-0.13351755566429666
block3_citizen_adult_share,block_3_immigration_eligibility,immigration_citizenship,0.3528999197578231,0.9128632621839659,0.25298636288540044,2,9.214551616506654,1.4006876047880097,-0.1913319702767836
block3_visible_minority_share,block_3_immigration_eligibility,immigration_citizenship,-0.6417173192966108,0.8886761599088725,0.2087305627139075,2,16.311338718780515,2.286269532925811,-0.10345033614517503
block3_english_french_knowledge_share,block_3_immigration_eligibility,immigration_citizenship,0.2654479846944613,0.6826098400347899,0.14078112260341158,0,5.821355060584908,0.9691090462988766,0.11484486985702387
block3_non_official_mother_tongue_share,block_3_immigration_eligibility,immigration_citizenship,-0.4907616687926421,0.9161702702303177,0.19312675170744226,2,21.93714484384689,1.7512500539067448,0.025816737362563135
block4_mayoral_top_two_margin,block_4_competitiveness,mayoral_competitiveness,0.2880745985328391,1.0,0.16590602890323936,3,inf,1.1511798391382846,-0.019963760525699585
block4_effective_mayoral_candidates_5pct,block_4_competitiveness,mayoral_competitiveness,-0.5348451385924542,0.9669689543176752,0.2119311460742968,3,39.781132215119726,1.9072643909961926,-0.026247144185054746
block4_mayoral_vote_fragmentation,block_4_competitiveness,mayoral_competitiveness,-0.4947468132914553,0.9669689543176752,0.21368391422432467,3,55.49809217123984,1.7746629677356136,0.055001854628524666
block4_federal_margin,block_4_competitiveness,federal_competitiveness,0.2722910141997016,0.622374931816803,0.21984069858791008,0,8.264031862499973,1.0653576032644425,0.12001759235727645
block4_provincial_margin,block_4_competitiveness,provincial_competitiveness,0.18367539082975004,0.5070492163628372,0.13486656606255076,0,4.606459723048025,0.8024452435409177,-0.05003802052306499
block4_effective_federal_parties_5pct,block_4_competitiveness,federal_competitiveness,-0.029448691873403765,0.9941494584269407,0.11357395473969903,1,154.93697728976719,0.4163645218384199,0.03223889202377387
block4_effective_provincial_parties_5pct,block_4_competitiveness,provincial_competitiveness,-0.051824097247245605,0.9885752039639086,0.17810957712236386,1,89.22181006228539,0.5291960870566139,-0.023980149042417093
block5_transit_commute_share_preferred,block_5_municipal_services,transportation_access,-0.0024438192912575162,1.0,0.20334353476566097,1,inf,0.5375880158907198,-0.020839553713070173
block5_no_car_household_share,block_5_municipal_services,transportation_access,0.1740819175441996,1.0,0.336647785342402,1,inf,0.8323521638785889,0.014618832563173267
block5_social_housing_share,block_5_municipal_services,service_contact,-0.19061914198981106,0.4930522814216712,0.1029417687128505,0,2.6424267688503007,0.7473637847512891,0.011188002103732516
block5_requests_311_per_1000,block_5_municipal_services,service_contact,0.1404246373182804,0.6789627053378731,0.11636840911258968,0,10.169254229655925,0.7652718950817419,-4.703485433956742e-06
block5_library_access_1200m,block_5_municipal_services,service_access,0.13680105892292813,0.8081593570928588,0.1643906684454087,2,4.646367844409001,0.6296411080496338,0.003989406183998518
block5_community_centre_access_1200m,block_5_municipal_services,service_access,-0.03682693996197601,0.6612820309201912,0.10564488128415797,0,2.1378186924443834,0.4947574119258981,-0.0029308065262977196
block5_school_age_5_17_share,block_5_municipal_services,service_contact,-0.19409917408872532,0.701019554886456,0.2561292019599141,1,46.38359112201245,0.881846243930762,0.00873426167377123
block5_ksi_collision_events_2021_2025_per_1000,block_5_municipal_services,service_contact,0.1574256837573699,0.5457192248389627,0.08675079400619774,0,3.3706293942507477,0.933160581562961,0.015413970767787565
block5_development_applications_2021_2025_per_1000,block_5_municipal_services,service_contact,0.09482019119593926,0.6789627053378731,0.08950728291862779,0,5.88967570885791,0.6903929832455855,-0.0015503758200080225
block5_shelter_access_1200m,block_5_municipal_services,service_access,0.1392172904017809,0.659175861765494,0.22940200835402522,0,2.882420957628893,0.7278811838262331,0.008627378298690095
block4_mayoral_winner_margin,block4,mayoral_competitiveness,0.2880791954472449,1.0,0.16645942017978432,3,inf,1.1511798391382846,-0.019963760525699585
block4_mayoral_candidate_count_5pct,block4,mayoral_competitiveness,-0.10736081767046161,0.41283481516329057,0.1255077822658558,0,1.9517293140742251,0.5835035863176945,-0.0016141756989199953
block4_provincial_party_count_5pct,block4,provincial_competitiveness,-0.15014770264505217,0.46064516748251555,0.15002593240086845,0,2.3542252806206787,0.6880210851317852,-0.0014130939940312109
block4_provincial_vote_fragmentation,block4,provincial_competitiveness,-0.06127509339630836,0.9885752039639086,0.18124789736516378,1,99.92825240469982,0.5297926740484911,-0.04591312752067852
block4_federal_party_count_5pct,block4,federal_competitiveness,0.2058588649673379,0.622374931816803,0.24834004094549908,0,5.005462286247319,0.9124670723273867,-0.01256024582956805
block4_federal_vote_fragmentation,block4,federal_competitiveness,-0.05670927955699628,0.9941494584269407,0.11178798614327075,1,163.97954219666056,0.43647792514058287,-0.10812805157710399
block5_tts_no_car_household_share,block5,transportation_access,0.1740819175441996,1.0,0.336647785342402,1,inf,0.8323521638785889,0.014618832563173267
block5_tts_transit_trip_share,block5,transportation_access,-0.0024438192912575162,1.0,0.20334353476566097,1,inf,0.5375880158907198,-0.020839553713070173
