variable,family,elastic_net_coefficient,abs_scaled_coefficient,selected
block3_visible_minority_share,immigration_citizenship,-0.1054024497981628,0.2907269396969914,True
block1_bachelors_or_higher_25_64_share,household_class,0.10049040457482841,0.20225078045351047,True
block1_age_18_34_share,age_structure,-0.18202310591331425,0.1798897668608766,True
block2_apartment_share,housing_form_density,0.0393004552395586,0.12501200300124474,True
block1_bachelors_or_higher_25_64_share__x__block4_effective_mayoral_candidates_5pct,other,0.010819974850673396,0.1229622448136086,True
block1_average_household_size,household_class,-0.020494746222635786,0.11354695388256142,True
block2_population_density_per_km2,housing_form_density,9.815719962799341e-07,0.1037077176825457,True
block1_low_income_lim_at_share__x__block5_requests_311_per_1000,other,0.008264026616276196,0.0883332752057519,True
block3_non_citizen_share,immigration_citizenship,-0.08943766930562116,0.08566497298430066,True
block4_federal_margin,federal_competitiveness,0.05062925837588057,0.07655717627691774,True
block4_effective_mayoral_candidates_5pct,mayoral_competitiveness,-0.00841805061595052,0.06928575442385958,True
block3_non_official_mother_tongue_share,immigration_citizenship,-0.040050220543439145,0.06768346828492967,True
block5_ksi_collision_events_2021_2025_per_1000__x__block1_unemployment_rate_share,other,-0.002698517803864869,0.06572147250204341,True
block1_low_income_lim_at_share,household_class,-0.08567462623800794,0.058747580854916596,True
block5_community_centre_access_1200m,service_access,-0.016020328306078035,0.05152642536980696,True
block1_average_household_size__x__block5_ksi_collision_events_2021_2025_per_1000,other,-0.002804143879027787,0.04935004405718113,True
block2_condo_share,housing_form_density,0.013854861348926956,0.043353307894601366,True
block1_age_65_plus_share__x__block1_average_household_size,other,-0.002804040201716153,0.040015215062461994,True
block1_low_income_lim_at_share__x__block1_age_35_64_share,other,-0.0015775778579310061,0.03572017327998449,True
block1_average_household_size__x__block1_age_35_64_share,other,0.0021850634755264313,0.031871288020985725,True
block2_renter_share,housing_tenure,-0.012724410687242931,0.03151205096222752,True
block5_shelter_access_1200m,service_access,-0.004931102749333563,0.026378896341799657,True
block5_library_access_1200m,service_access,-0.0018983169083005296,0.00973463969531469,True
block5_requests_311_per_1000,service_contact,2.898777844852155e-07,0.007572883275394625,True
block5_social_housing_share,service_contact,0.0023715813960290023,0.004311016548840624,True
block4_mayoral_top_two_margin,mayoral_competitiveness,0.0031103149903897167,0.004242122541966153,True
block4_provincial_margin,provincial_competitiveness,0.002916837191425512,0.004092941061272602,True
block5_transit_commute_share_preferred,transportation_access,0.0013433800454113794,0.0011319453737656084,True
block1_age_65_plus_share,age_structure,0.0,0.0,False
block2_same_address_5yr_share,residential_stability,0.0,0.0,False
block3_recent_immigrant_share,immigration_citizenship,0.0,0.0,False
block5_no_car_household_share,transportation_access,0.0,0.0,False
block5_ksi_collision_events_2021_2025_per_1000,service_contact,0.0,0.0,False
block5_development_applications_2021_2025_per_1000,service_contact,0.0,0.0,False
block5_school_age_5_17_share,service_contact,0.0,0.0,False
block1_unemployment_rate_share,household_class,0.0,0.0,False
block1_age_35_64_share,age_structure,0.0,0.0,False
block5_ksi_collision_events_2021_2025_per_1000__x__block3_non_official_mother_tongue_share,other,0.0,0.0,False
