variable,component_1,component_2
block1_age_18_34_share,-0.011283497309991952,-0.5283854662522492
block1_age_65_plus_share,0.03393097440198507,0.8118085343193032
block1_average_household_size,-0.3599770587646931,-0.053346534568245674
block1_bachelors_or_higher_25_64_share,0.4380046424428168,-0.009969304645040148
block1_low_income_lim_at_share,-0.20322607624343333,0.12888496358524998
block2_renter_share,-0.03688002254684022,-0.1917925397285388
block2_same_address_5yr_share,-0.13357997856371995,0.2502286755440059
block2_apartment_share,0.031528157747043845,0.015978647895873225
block2_condo_share,0.03145359616444258,0.12277962766430892
block2_population_density_per_km2,0.0672635666340898,-0.12413185109743122
block3_citizen_adult_share,0.31302424381090366,0.03278069928354819
block3_immigrant_share,-0.5026715887668884,0.25109027521762617
block3_visible_minority_share,-0.5161451181688533,0.0450058868738957
block5_tts_no_car_household_share,0.16331366256536134,-0.2177333177605649
