screen,screened_predictor_count,n_components,train_r2,cv_r2,cv_rmse,variables
top_12_corr,12,6,0.5547725047484141,0.5214012057269091,0.06013581824143003,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2; block2_apartment_share
top_12_corr,12,7,0.5551094769078185,0.5194527319654734,0.060258106521954284,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2; block2_apartment_share
all_14,14,4,0.5478555821324935,0.5191016103131565,0.06028011690873465,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
all_14,14,7,0.5581504227915981,0.5186856649521923,0.060306180435037014,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
all_14,14,5,0.5493692292556764,0.5185239320603163,0.06031631172870177,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
all_14,14,6,0.5514447625227974,0.5184753861325146,0.060319352417226864,block1_age_18_34_share; block1_age_65_plus_share; block1_average_household_size; block1_bachelors_or_higher_25_64_share; block1_low_income_lim_at_share; block2_renter_share; block2_same_address_5yr_share; block2_apartment_share; block2_condo_share; block2_population_density_per_km2; block3_citizen_adult_share; block3_immigrant_share; block3_visible_minority_share; block5_tts_no_car_household_share
top_12_corr,12,8,0.5603694595925657,0.5161540252376775,0.06046457306614509,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2; block2_apartment_share
corr_ge_0.10,11,6,0.5498473392928269,0.5153348000948144,0.06051573929633372,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2
top_12_corr,12,5,0.5466778902010276,0.5146283398958308,0.060559827868706353,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2; block2_apartment_share
top_12_corr,12,4,0.5438801318460025,0.5143236082285542,0.06057883557266071,block3_visible_minority_share; block3_immigrant_share; block1_bachelors_or_higher_25_64_share; block1_average_household_size; block3_citizen_adult_share; block1_low_income_lim_at_share; block1_age_65_plus_share; block5_tts_no_car_household_share; block1_age_18_34_share; block2_same_address_5yr_share; block2_population_density_per_km2; block2_apartment_share
