variable,family,vif,vif_r2
block1_average_household_size,household_class,17.521051782456382,0.9429258007786218
block2_apartment_share,housing_form_density,14.574975873467986,0.9313892517777418
block2_renter_share,housing_tenure,14.327093193268333,0.9302021710538007
block1_age_18_34_share,age_structure,12.752713079558344,0.9215853133555615
block3_non_citizen_share,immigration_citizenship,12.265268008971018,0.9184689646187443
block5_school_age_5_17_share,service_contact,10.666456875780694,0.9062481560985256
block2_condo_share,housing_form_density,10.0220844511085,0.9002203578628402
block3_recent_immigrant_share,immigration_citizenship,9.401897447510207,0.8936384909979189
block2_same_address_5yr_share,residential_stability,9.301053620022913,0.8924852988862205
block3_visible_minority_share,immigration_citizenship,7.847338892917817,0.8725682663071306
block1_low_income_lim_at_share,household_class,6.224257794807456,0.8393382740614884
block1_age_65_plus_share,age_structure,5.41174310736991,0.8152166538285671
block5_no_car_household_share,transportation_access,5.1021469600997085,0.8040040775343607
block4_effective_mayoral_candidates_5pct,mayoral_competitiveness,4.676779285265451,0.7861776365734051
block1_bachelors_or_higher_25_64_share,household_class,3.889813084425219,0.7429182384099657
block4_mayoral_top_two_margin,mayoral_competitiveness,3.098262869123356,0.6772384906504247
block5_requests_311_per_1000,service_contact,2.7131423927185567,0.6314236942801943
block2_population_density_per_km2,housing_form_density,2.344342359069801,0.5734411417636183
block4_federal_margin,federal_competitiveness,2.272054251913518,0.5598696645743372
block5_social_housing_share,service_contact,2.270589401181983,0.5595857183692314
block5_development_applications_2021_2025_per_1000,service_contact,2.1012605177840427,0.5240951840400139
block5_transit_commute_share_preferred,transportation_access,2.090248065636218,0.5215878840219734
block5_ksi_collision_events_2021_2025_per_1000,service_contact,1.7185754108409899,0.41812271158316694
block5_shelter_access_1200m,service_access,1.6649606511223793,0.3993852050942571
block4_provincial_margin,provincial_competitiveness,1.6162816455238376,0.38129595001624883
block5_library_access_1200m,service_access,1.3135882366248093,0.23872643487624134
block5_community_centre_access_1200m,service_access,1.221819004360837,0.18154817003920798
