model_id,dependent_variable,specification,n,num_predictors,ols_adjusted_r2,ols_aic,spatial_lambda,spatial_lambda_p,spatial_aic,delta_aic_spatial_minus_ols,ols_residual_morans_i,ols_residual_morans_p_perm,spatial_filtered_residual_morans_i,spatial_filtered_residual_morans_p_perm
A_municipal_turnout__housing_original,outcome_municipal_participation_citizen_18plus,housing_original,585,9,0.21519,-1122.74,0.81451,0,-1478.85,-356.11,0.473305,0.005,-0.0776231,0.005
A_municipal_turnout__housing_zack_condo_share,outcome_municipal_participation_citizen_18plus,housing_zack_condo_share,585,3,0.127182,-1066.49,0.802485,0,-1469.15,-402.659,0.571953,0.005,-0.0740285,0.005
A_municipal_turnout__housing_density_scale,outcome_municipal_participation_citizen_18plus,housing_density_scale,585,4,0.103507,-1049.84,0.805516,0,-1473.44,-423.599,0.596292,0.005,-0.0699557,0.01
A_municipal_turnout__housing_condo_interpretation,outcome_municipal_participation_citizen_18plus,housing_condo_interpretation,585,4,0.134959,-1070.73,0.803816,0,-1467.8,-397.064,0.55536,0.005,-0.0741841,0.005
A_municipal_turnout__housing_augmented_check,outcome_municipal_participation_citizen_18plus,housing_augmented_check,585,6,0.176607,-1097.62,0.799211,0,-1479.9,-382.278,0.538947,0.005,-0.0711189,0.01
B_provincial_turnout__housing_original,outcome_provincial_participation_citizen_18plus,housing_original,585,9,0.166156,-1223.53,0.655056,0,-1364.32,-140.791,0.29155,0.005,-0.0439443,0.09
B_provincial_turnout__housing_zack_condo_share,outcome_provincial_participation_citizen_18plus,housing_zack_condo_share,585,3,0.112798,-1193.17,0.614987,0,-1338.64,-145.47,0.340723,0.005,-0.0406534,0.105
B_provincial_turnout__housing_density_scale,outcome_provincial_participation_citizen_18plus,housing_density_scale,585,4,0.0816208,-1171.97,0.625276,0,-1335.9,-163.927,0.374964,0.005,-0.0412683,0.11
B_provincial_turnout__housing_condo_interpretation,outcome_provincial_participation_citizen_18plus,housing_condo_interpretation,585,4,0.123199,-1199.07,0.611626,0,-1337.44,-138.366,0.324088,0.005,-0.0401657,0.105
B_provincial_turnout__housing_augmented_check,outcome_provincial_participation_citizen_18plus,housing_augmented_check,585,6,0.132088,-1203.06,0.608065,0,-1336.74,-133.686,0.31544,0.005,-0.0390713,0.12
C_federal_turnout__housing_original,outcome_federal_participation_citizen_18plus,housing_original,585,9,0.121094,-1106.22,0.624764,0,-1250.2,-143.983,0.329157,0.005,-0.0397618,0.14
C_federal_turnout__housing_zack_condo_share,outcome_federal_participation_citizen_18plus,housing_zack_condo_share,585,3,0.0902051,-1091.94,0.617393,0,-1243,-151.058,0.355845,0.005,-0.0396168,0.135
C_federal_turnout__housing_density_scale,outcome_federal_participation_citizen_18plus,housing_density_scale,585,4,0.100671,-1097.72,0.61049,0,-1245.61,-147.893,0.353921,0.005,-0.0367642,0.155
C_federal_turnout__housing_condo_interpretation,outcome_federal_participation_citizen_18plus,housing_condo_interpretation,585,4,0.089183,-1090.29,0.617646,0,-1241.25,-150.956,0.355421,0.005,-0.0395346,0.14
C_federal_turnout__housing_augmented_check,outcome_federal_participation_citizen_18plus,housing_augmented_check,585,6,0.103952,-1097.87,0.612379,0,-1243.35,-145.48,0.346438,0.005,-0.0385864,0.14
D_federal_minus_municipal__housing_original,outcome_federal_minus_municipal_participation,housing_original,585,9,0.19907,-1322.6,0.368861,2.71949e-09,-1351.39,-28.7867,0.134813,0.005,-0.0135783,0.57
D_federal_minus_municipal__housing_zack_condo_share,outcome_federal_minus_municipal_participation,housing_zack_condo_share,585,3,0.172449,-1309.4,0.404092,5.15143e-14,-1355.66,-46.2607,0.188832,0.005,-0.0178698,0.45
D_federal_minus_municipal__housing_density_scale,outcome_federal_minus_municipal_participation,housing_density_scale,585,4,0.126071,-1276.51,0.452506,0,-1339.36,-62.8534,0.222696,0.005,-0.021517,0.38
D_federal_minus_municipal__housing_condo_interpretation,outcome_federal_minus_municipal_participation,housing_condo_interpretation,585,4,0.178877,-1312.97,0.400904,7.42739e-13,-1353.71,-40.7368,0.167322,0.005,-0.0175837,0.47
D_federal_minus_municipal__housing_augmented_check,outcome_federal_minus_municipal_participation,housing_augmented_check,585,6,0.186336,-1316.33,0.389231,8.88623e-12,-1353.35,-37.0246,0.158163,0.005,-0.0155978,0.505
E_mean_turnout__housing_original,outcome_mean_participation_citizen_18plus,housing_original,585,9,0.181908,-1304.35,0.792318,0,-1612.69,-308.348,0.446522,0.005,-0.0591708,0.025
E_mean_turnout__housing_zack_condo_share,outcome_mean_participation_citizen_18plus,housing_zack_condo_share,585,3,0.112923,-1262.91,0.770259,0,-1586.34,-323.421,0.512591,0.005,-0.0576443,0.015
E_mean_turnout__housing_density_scale,outcome_mean_participation_citizen_18plus,housing_density_scale,585,4,0.101387,-1254.36,0.769847,0,-1589.95,-335.583,0.533254,0.005,-0.054517,0.015
E_mean_turnout__housing_condo_interpretation,outcome_mean_participation_citizen_18plus,housing_condo_interpretation,585,4,0.118766,-1265.79,0.769983,0,-1584.4,-318.609,0.50217,0.005,-0.0575919,0.015
E_mean_turnout__housing_augmented_check,outcome_mean_participation_citizen_18plus,housing_augmented_check,585,6,0.145691,-1281.96,0.766463,0,-1590.58,-308.623,0.489316,0.005,-0.0556892,0.02
