ct_id,dguid,dem_share_18_34,dem_share_35_64,dem_share_65_plus,dem_median_age,dem_average_household_size,dem_bachelors_plus_share,dem_low_income_share,dem_unemployment_rate,housing_renter_share,housing_owner_share,housing_recent_mover_share,housing_same_address_1yr_share,housing_same_address_5yr_share,housing_condo_share,housing_apartment_share,housing_detached_semi_share,housing_population_density_per_km2,immigration_immigrant_share,immigration_recent_immigrant_share,immigration_non_citizen_share,eligibility_citizen_adult_share,racialized_visible_minority_share,language_english_french_knowledge_share,language_non_official_mother_tongue_share,election_mayoral_winner_margin,election_mayoral_top_two_margin,election_effective_mayoral_candidates_5pct,election_mayoral_candidate_count_5pct,election_mayoral_vote_fragmentation,election_federal_margin,election_provincial_margin,election_effective_federal_parties_5pct,election_effective_provincial_parties_5pct,election_federal_party_count_5pct,election_provincial_party_count_5pct,service_transit_commute_share,service_no_car_household_share,service_non_car_commute_share_proxy,service_social_housing_share,service_311_requests_per_capita,service_library_access_15m_walk_transit,service_community_centre_access,service_park_access,service_school_age_population_share,service_road_safety_exposure,service_development_applications_per_capita,service_shelter_service_proximity,info_education_bachelors_plus_share,info_age_median,info_age_share_18_34,info_federal_turnout_proxy,info_provincial_turnout_proxy,info_municipal_candidate_count_5pct,info_campaign_spending,info_local_media_coverage_by_ward,info_candidate_website_platform_availability,info_candidate_events,info_endorsement_density,outcome_municipal_participation_citizen_18plus,outcome_provincial_participation_citizen_18plus,outcome_federal_participation_citizen_18plus,outcome_mean_participation_citizen_18plus,outcome_federal_minus_municipal_participation,outcome_provincial_minus_municipal_participation
5350001.00,2021S05075350001.00,0.2083333333,0.5166666667,0.09166666667,40.4,2.6,0.5903614458,0.09166666667,7.3,0.2244897959,0.7755102041,0.1694915254,0.8305084746,0.5963302752,0,0.1914893617,0.4255319149,87.8,0.2372881356,0.01694915254,0.0593220339,0.8958333333,0.313559322,0.975,0.2333333333,0.2725187167,0.2725187167,3.039936564,3,0.6710457673,0.5075243588,0.2887892342,1.886896941,2.523032914,3,3,0.1388888889,,0.3888888889,0,,,,,0.1166666667,,,,0.5903614458,40.4,0.2083333333,0.5805614808208909,0.5246544735375186,3,,,,,,0.4619418742641638,0.5246544735375186,0.5805614808208909,0.5223859429,0.1186196066,0.06271259927
5350002.00,2021S05075350002.00,0.1404958678,0.3223140496,0.4132231405,62,2.1,0.5490196078,0.1196581197,14,0.1052631579,0.8771929825,0.075,0.925,0.775862069,0,0.05263157895,0.9649122807,178,0.2083333333,0,0.01666666667,0.963963964,0.01666666667,1,0.0826446281,0.682286096,0.682286096,1.625966045,3,0.3849810067,0.2129529022,0.7189041711,2.492726905,1.543571833,3,3,0.2173913043,,0.6956521739,0,,,,,0.06611570248,,,,0.5490196078,62,0.1404958678,0.8936559769008491,0.6203905286389236,3,,,,,,0.6654994414861668,0.6203905286389236,0.8936559769008491,0.7265153157,0.2281565354,-0.04510891285
5350003.00,2021S05075350003.00,0.2826086957,0.4673913043,0.09782608696,38,1.7,0.6,0.1318681319,7,0.3148148148,0.6851851852,0.2621359223,0.7378640777,0.3333333333,1,1,0,483.3,0.4134615385,0.1442307692,0.2211538462,0.8536585366,0.5238095238,0.978021978,0.3956043956,0.1771162738,0.1771162738,3.301948649,4,0.6971485306,0.1668833762,0.1543899303,2.662080433,3.018295577,3,3,0.2051282051,,0.3333333333,0,,,,,0.05434782609,,,,0.6,38,0.2826086957,1.211840163510261,0.5045094525137946,4,,,,,,0.7260003638550926,0.5045094525137946,1.211840163510261,0.81411666,0.4858397997,-0.2214909113
5350004.00,2021S05075350004.00,0.2797147385,0.4587955626,0.1331220285,40,1.8,0.3470374849,0.2284518828,19.2,0.9266055046,0.07339449541,0.149787234,0.850212766,0.6069868996,0.01070336391,0.9603053435,0.03816793893,18525.3,0.4403048264,0.08975444539,0.1761219306,0.764075067,0.5055038103,0.9628406276,0.372419488,0.4400203915,0.4400203915,2.63912535,3,0.6210865846,0.2094411615,0.2431835573,2.656839676,2.787271435,3,3,0.459057072,,0.7047146402,0.097,,,,,0.08003169572,,,,0.3470374849,40,0.2797147385,0.6775955300356529,0.47188717886268283,3,,,,,,0.35183182329982576,0.47188717886268283,0.6775955300356529,0.5004381774,0.3257637067,0.1200553556
5350005.00,2021S05075350005.00,0.3611510791,0.3992805755,0.1244604317,36.4,1.8,0.4892933619,0.1976225854,14.7,0.7365591398,0.2634408602,0.1941747573,0.8065720687,0.5183767228,0.3454301075,0.8924731183,0.02150537634,18483,0.3751857355,0.06389301634,0.1441307578,0.8142164782,0.4769687964,0.974112426,0.324704142,0.3623016431,0.3623016431,2.923392328,3,0.6579316466,0.3042920981,0.2148158701,2.539825998,2.814813955,3,3,0.382585752,,0.6464379947,0.257,,,,,0.07841726619,,,,0.4892933619,36.4,0.3611510791,0.6731712497971065,0.5199229021133218,3,,,,,,0.33192417245325634,0.5199229021133218,0.6731712497971065,0.5083394415,0.3412470773,0.1879987297
5350006.00,2021S05075350006.00,0,0.08333333333,0.875,84,,,,,,,,,,,,,9224.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,84,0,,,,,,,,,,,,,,
5350007.01,2021S05075350007.01,0.2661764706,0.4338235294,0.1808823529,42.4,1.8,0.4282460137,0.1652892562,15.3,0.8662790698,0.1308139535,0.1118210863,0.8897763578,0.6176470588,0.01453488372,0.9212121212,0.0696969697,17018.5,0.4025356577,0.07290015848,0.1679873217,0.736497545,0.5309033281,0.9770491803,0.3426229508,0.438922237,0.438922237,2.634298071,3,0.6203922362,0.1939883001,0.2037427977,2.718805634,2.850013695,3,3,0.4372093023,,0.6790697674,0.054,,,,,0.07205882353,,,,0.4282460137,42.4,0.2661764706,0.8196335251062429,0.48930979167976885,3,,,,,,0.3576495065139899,0.48930979167976885,0.8196335251062429,0.5555309411,0.4619840186,0.1316602852
5350007.02,2021S05075350007.02,0.3265536723,0.4282485876,0.1265536723,38,1.8,0.3699324324,0.201622248,21.3,0.9696312364,0.03253796095,0.1385542169,0.8602409639,0.585,0.004338394794,0.9810126582,0.01898734177,10174.9,0.4755077658,0.08004778973,0.1720430108,0.7774968394,0.5471923536,0.9640787949,0.3870220162,0.4487954293,0.4487954293,2.610940415,3,0.6169962384,0.269496991,0.2530773522,2.610567605,2.74301911,3,3,0.4296296296,,0.6592592593,0.081,,,,,0.07570621469,,,,0.3699324324,38,0.3265536723,0.7128611430097338,0.48397459626056555,3,,,,,,0.37579249850440366,0.48397459626056555,0.7128611430097338,0.5242094126,0.3370686445,0.1081820978
5350008.01,2021S05075350008.01,0.5996462264,0.3260613208,0.02240566038,32,1.6,0.7239010989,0.08972845336,7.3,0.5166975881,0.4833024119,0.3801801802,0.6198198198,0.2427781192,1,0.970749543,0,27425.6,0.3124253286,0.0890083632,0.1768219833,0.8069522036,0.4169653524,0.9929245283,0.2688679245,0.2639354885,0.2639354885,3.290045371,4,0.6960528239,0.2826808506,0.1114972667,2.173610274,2.910354151,3,3,0.2233400402,,0.4607645875,0,,,,,0.02240566038,,,,0.7239010989,32,0.5996462264,0.7655010426823642,0.41849582109545475,4,,,,,,0.3979218869055005,0.41849582109545475,0.7655010426823642,0.5273062502,0.3675791558,0.02057393419
5350008.02,2021S05075350008.02,0.4941785252,0.3686934023,0.05347132385,33.2,1.6,0.6761546724,0.1148180243,9.6,0.5477207977,0.4522792023,0.3363994744,0.6636005256,0.3107319264,0.9045584046,0.9957264957,0.0007122507123,6052.4,0.4081455806,0.1143847487,0.1837088388,0.8049579046,0.5071459506,0.9870073625,0.3295799047,0.2407270288,0.2407270288,3.321037837,4,0.6988893084,0.2916877044,0.1794476968,2.240125986,2.84153044,3,3,0.2479608483,,0.5187601958,0.103,,,,,0.04312203536,,,,0.6761546724,33.2,0.4941785252,0.7683086998428039,0.4894746768228346,4,,,,,,0.32980585787633215,0.4894746768228346,0.7683086998428039,0.5291964115,0.438502842,0.1596688189
