Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gary Anandasangaree,Suchita Jalan,Kingsley Kwok,Troy Rife,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 1","Toronto",66,47,3,1,0,117,358
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 2","Toronto",86,53,8,2,0,149,340
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 3","Toronto",109,48,7,1,2,167,350
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 4","Toronto",112,58,4,0,0,174,451
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 5","Toronto",111,44,7,1,2,165,380
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 6","Toronto",90,31,3,0,1,125,396
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 7","Toronto",124,41,5,1,1,172,451
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 8","Toronto",114,39,6,0,0,159,409
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 9","Toronto",102,43,5,0,1,151,478
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 10","Toronto",74,13,6,1,2,96,380
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 11","Toronto",78,35,8,4,2,127,397
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 12","Toronto",92,22,6,0,1,121,399
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 13","Toronto",83,24,4,0,1,112,337
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 14","Toronto",101,35,8,3,3,150,444
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 15","Toronto",140,36,7,0,1,184,489
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 16","Toronto",93,42,2,2,1,140,407
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 17","Toronto",124,53,1,1,2,181,473
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 18","Toronto",114,52,2,0,2,170,439
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 19","Toronto",92,53,2,1,0,148,492
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 20","Toronto",152,30,7,1,0,190,422
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 21","Toronto",127,48,5,3,0,183,465
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 22","Toronto",97,53,2,2,1,155,373
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 23","Toronto",91,69,6,3,1,170,559
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 24","Toronto",162,69,6,2,0,239,450
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 25","Toronto",119,63,4,1,0,187,419
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 26","Toronto",112,70,2,1,0,185,458
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 27","Toronto",112,62,2,2,0,178,474
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 28","Toronto",178,68,6,3,1,256,529
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 29","Toronto",210,76,9,3,0,298,515
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 30","Toronto",139,70,8,2,1,220,428
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 31","Toronto",100,42,9,1,0,152,400
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 32","Toronto",140,40,10,2,0,192,512
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 33","Toronto",103,44,1,4,0,152,376
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 34","Toronto",83,51,4,3,0,141,436
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 35","Toronto",88,52,2,2,2,146,437
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 36","Toronto",135,94,8,4,0,241,600
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 37","Toronto",119,48,9,1,2,179,547
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 38","Toronto",99,66,10,1,3,179,513
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 39","Toronto",113,68,11,3,4,199,452
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 40","Toronto",95,39,6,1,0,141,422
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 41","Toronto",99,54,6,3,0,162,355
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 42","Toronto",119,49,7,2,1,178,491
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 43","Toronto",131,47,7,4,0,189,474
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 44","Toronto",142,67,7,1,4,221,482
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 45","Toronto",93,70,7,5,0,175,423
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 46","Toronto",109,83,18,3,1,214,449
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 47","Toronto",64,53,3,0,0,120,403
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 48","Toronto",92,59,7,2,0,160,456
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 49","Toronto",79,62,3,4,0,148,421
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 50","Toronto",73,70,0,3,0,146,387
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 51","Toronto",107,73,9,2,0,191,500
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 52","Toronto",96,48,5,2,1,152,482
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 53","Toronto",86,38,9,5,0,138,398
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 54","Toronto",79,49,5,2,1,136,361
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 55","Toronto",74,45,5,1,0,125,355
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 56","Toronto",86,77,5,1,1,170,374
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 57","Toronto",89,57,6,2,0,154,438
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 58","Toronto",97,82,4,2,0,185,485
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 59","Toronto",84,61,8,1,0,154,387
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 60","Toronto",64,49,1,3,1,118,403
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 61","Toronto",115,73,14,3,0,205,509
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 62","Toronto",153,68,7,0,2,230,482
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 63","Toronto",116,88,5,1,2,212,403
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 64","Toronto",121,42,1,0,1,165,345
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 65","Toronto",111,34,6,1,2,154,478
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 66","Toronto",79,34,6,1,0,120,399
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 67","Toronto",79,71,3,5,2,160,379
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 68","Toronto",102,47,6,0,0,155,393
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 69","Toronto",120,92,14,4,3,233,550
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 70","Toronto",130,59,9,3,2,203,574
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 71","Toronto",148,58,10,2,0,218,579
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 72","Toronto",106,53,3,1,1,164,432
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 73","Toronto",99,37,4,2,0,142,460
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 74","Toronto",96,80,3,2,0,181,411
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 75","Toronto",134,69,5,0,3,211,532
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 76","Toronto",73,45,0,1,0,119,376
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 77","Toronto",94,43,1,3,0,141,422
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 78","Toronto",149,80,9,6,0,244,521
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 79","Toronto",108,58,5,3,2,176,451
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 80","Toronto",134,57,7,2,0,200,467
35094,"Scarborough--Guildwood--Rouge Park/Scarborough--Guildwood--Rouge Park"," 81","Toronto",141,70,14,2,1,228,565
