Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shaun Chen,Karishma Manji,Gurmit Sandhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Scarborough North/Scarborough-Nord"," 1","Toronto",95,3,45,0,143,463
35095,"Scarborough North/Scarborough-Nord"," 2","Toronto",121,6,74,1,202,562
35095,"Scarborough North/Scarborough-Nord"," 3","Toronto",109,8,52,0,169,482
35095,"Scarborough North/Scarborough-Nord"," 4","Toronto",110,4,51,0,165,450
35095,"Scarborough North/Scarborough-Nord"," 5","Toronto",64,3,44,1,112,389
35095,"Scarborough North/Scarborough-Nord"," 6","Toronto",142,3,68,2,215,566
35095,"Scarborough North/Scarborough-Nord"," 7","Toronto",80,5,26,0,111,430
35095,"Scarborough North/Scarborough-Nord"," 8","Toronto",68,6,35,1,110,340
35095,"Scarborough North/Scarborough-Nord"," 9","Toronto",128,4,58,1,191,443
35095,"Scarborough North/Scarborough-Nord"," 10","Toronto",164,10,70,0,244,613
35095,"Scarborough North/Scarborough-Nord"," 11","Toronto",59,3,43,1,106,367
35095,"Scarborough North/Scarborough-Nord"," 12","Toronto",50,3,33,1,87,377
35095,"Scarborough North/Scarborough-Nord"," 13","Toronto",90,5,55,3,153,439
35095,"Scarborough North/Scarborough-Nord"," 14","Toronto",61,2,28,0,91,350
35095,"Scarborough North/Scarborough-Nord"," 15","Toronto",71,3,45,0,119,402
35095,"Scarborough North/Scarborough-Nord"," 16","Toronto",63,3,32,0,98,332
35095,"Scarborough North/Scarborough-Nord"," 17","Toronto",94,4,48,1,147,348
35095,"Scarborough North/Scarborough-Nord"," 18","Toronto",97,7,69,0,173,427
35095,"Scarborough North/Scarborough-Nord"," 19","Toronto",95,2,56,0,153,371
35095,"Scarborough North/Scarborough-Nord"," 20","Toronto",98,5,53,1,157,423
35095,"Scarborough North/Scarborough-Nord"," 21","Toronto",70,1,52,0,123,393
35095,"Scarborough North/Scarborough-Nord"," 22","Toronto",88,1,60,2,151,412
35095,"Scarborough North/Scarborough-Nord"," 23","Toronto",89,4,36,1,130,440
35095,"Scarborough North/Scarborough-Nord"," 24","Toronto",49,1,41,1,92,281
35095,"Scarborough North/Scarborough-Nord"," 25","Toronto",75,6,60,0,141,411
35095,"Scarborough North/Scarborough-Nord"," 26","Toronto",104,9,63,0,176,392
35095,"Scarborough North/Scarborough-Nord"," 27","Toronto",101,5,79,3,188,408
35095,"Scarborough North/Scarborough-Nord"," 28","Toronto",59,6,42,2,109,329
35095,"Scarborough North/Scarborough-Nord"," 29","Toronto",91,5,48,1,145,468
35095,"Scarborough North/Scarborough-Nord"," 30","Toronto",87,1,65,0,153,443
35095,"Scarborough North/Scarborough-Nord"," 31","Toronto",137,11,62,4,214,567
35095,"Scarborough North/Scarborough-Nord"," 32","Toronto",128,9,63,4,204,482
35095,"Scarborough North/Scarborough-Nord"," 33","Toronto",85,7,69,1,162,534
35095,"Scarborough North/Scarborough-Nord"," 34","Toronto",113,4,58,1,176,377
35095,"Scarborough North/Scarborough-Nord"," 35","Toronto",83,79,5,1,168,360
35095,"Scarborough North/Scarborough-Nord"," 36","Toronto",101,5,73,3,182,373
35095,"Scarborough North/Scarborough-Nord"," 37","Toronto",65,7,75,6,153,339
35095,"Scarborough North/Scarborough-Nord"," 38","Toronto",134,5,95,2,236,506
35095,"Scarborough North/Scarborough-Nord"," 39","Toronto",123,7,71,1,202,439
35095,"Scarborough North/Scarborough-Nord"," 40","Toronto",135,10,81,5,231,574
35095,"Scarborough North/Scarborough-Nord"," 41","Toronto",114,8,44,7,173,380
35095,"Scarborough North/Scarborough-Nord"," 42","Toronto",88,6,22,1,117,339
35095,"Scarborough North/Scarborough-Nord"," 43","Toronto",127,3,38,2,170,430
35095,"Scarborough North/Scarborough-Nord"," 44","Toronto",81,4,31,2,118,365
35095,"Scarborough North/Scarborough-Nord"," 45","Toronto",122,5,44,5,176,395
35095,"Scarborough North/Scarborough-Nord"," 46","Toronto",82,6,71,2,161,442
35095,"Scarborough North/Scarborough-Nord"," 47","Toronto",61,10,60,2,133,516
35095,"Scarborough North/Scarborough-Nord"," 48","Toronto",81,4,45,1,131,360
35095,"Scarborough North/Scarborough-Nord"," 49","Toronto",44,1,54,0,99,381
35095,"Scarborough North/Scarborough-Nord"," 50","Toronto",80,5,50,1,136,407
35095,"Scarborough North/Scarborough-Nord"," 51","Toronto",61,1,58,0,120,363
35095,"Scarborough North/Scarborough-Nord"," 52","Toronto",78,2,42,2,124,405
35095,"Scarborough North/Scarborough-Nord"," 53","Toronto",91,6,65,2,164,455
35095,"Scarborough North/Scarborough-Nord"," 54","Toronto",99,3,50,1,153,378
35095,"Scarborough North/Scarborough-Nord"," 55","Toronto",87,3,62,0,152,369
35095,"Scarborough North/Scarborough-Nord"," 56","Toronto",88,56,9,1,154,429
35095,"Scarborough North/Scarborough-Nord"," 57","Toronto",80,3,57,0,140,335
35095,"Scarborough North/Scarborough-Nord"," 58","Toronto",92,5,72,1,170,408
35095,"Scarborough North/Scarborough-Nord"," 59","Toronto",72,2,38,0,112,341
35095,"Scarborough North/Scarborough-Nord"," 60","Toronto",117,4,53,2,176,427
35095,"Scarborough North/Scarborough-Nord"," 61","Toronto",90,6,51,1,148,460
35095,"Scarborough North/Scarborough-Nord"," 62","Toronto",113,10,40,1,164,419
35095,"Scarborough North/Scarborough-Nord"," 63","Toronto",116,9,75,0,200,580
35095,"Scarborough North/Scarborough-Nord"," 64","Toronto",86,8,37,0,131,434
35095,"Scarborough North/Scarborough-Nord"," 65","Toronto",82,0,51,0,133,424
35095,"Scarborough North/Scarborough-Nord"," 66","Toronto",79,4,36,0,119,384
35095,"Scarborough North/Scarborough-Nord"," 67","Toronto",56,2,41,1,100,329
35095,"Scarborough North/Scarborough-Nord"," 68","Toronto",77,5,39,4,125,437
35095,"Scarborough North/Scarborough-Nord"," 69","Toronto",74,10,57,4,145,541
35095,"Scarborough North/Scarborough-Nord"," 70","Toronto",95,5,49,1,150,552
35095,"Scarborough North/Scarborough-Nord"," 71","Toronto",128,10,52,0,190,607
35095,"Scarborough North/Scarborough-Nord"," 72","Toronto",94,6,57,1,158,371
35095,"Scarborough North/Scarborough-Nord"," 73","Toronto",118,7,66,2,193,492
35095,"Scarborough North/Scarborough-Nord"," 74","Toronto",145,9,81,2,237,588
35095,"Scarborough North/Scarborough-Nord"," 75","Toronto",87,8,50,2,147,326
35095,"Scarborough North/Scarborough-Nord"," 76","Toronto",120,6,59,3,188,460
35095,"Scarborough North/Scarborough-Nord"," 77","Toronto",107,6,84,2,199,506
35095,"Scarborough North/Scarborough-Nord"," 78","Toronto",161,10,76,1,248,529
35095,"Scarborough North/Scarborough-Nord"," 79","Toronto",135,12,46,0,193,577
35095,"Scarborough North/Scarborough-Nord"," 80","Toronto",155,8,54,0,217,464
35095,"Scarborough North/Scarborough-Nord"," 81","Toronto",119,7,52,2,180,530
35095,"Scarborough North/Scarborough-Nord"," 82","Toronto",104,10,48,0,162,445
35095,"Scarborough North/Scarborough-Nord"," 83","Toronto",117,10,83,2,212,433
35095,"Scarborough North/Scarborough-Nord"," 84","Toronto",112,8,95,2,217,541
35095,"Scarborough North/Scarborough-Nord"," 85","Toronto",156,7,69,1,233,451
35095,"Scarborough North/Scarborough-Nord"," 86","Toronto",124,2,41,3,170,470
35095,"Scarborough North/Scarborough-Nord"," 87","Toronto",114,8,54,2,178,497
35095,"Scarborough North/Scarborough-Nord"," 88","Toronto",108,9,39,4,160,421
35095,"Scarborough North/Scarborough-Nord"," 89","Toronto",66,11,45,1,123,361
35095,"Scarborough North/Scarborough-Nord"," 90","Toronto",109,6,49,0,164,442
35095,"Scarborough North/Scarborough-Nord"," 91","Toronto",93,3,54,0,150,372
35095,"Scarborough North/Scarborough-Nord"," 92","Toronto",105,6,76,1,188,444
35095,"Scarborough North/Scarborough-Nord"," 93","Toronto",53,1,63,1,118,286
35095,"Scarborough North/Scarborough-Nord"," 94","Toronto",94,1,52,1,148,382
35095,"Scarborough North/Scarborough-Nord"," 95","Toronto",140,13,67,1,221,530
35095,"Scarborough North/Scarborough-Nord"," 96","Toronto",116,17,89,1,223,474
35095,"Scarborough North/Scarborough-Nord"," 97","Toronto",125,11,87,3,226,580
35095,"Scarborough North/Scarborough-Nord"," 98","Toronto",114,10,60,2,186,540
35095,"Scarborough North/Scarborough-Nord"," 99","Toronto",105,2,50,0,157,312
35095,"Scarborough North/Scarborough-Nord"," 100","Toronto",74,11,57,0,142,410
35095,"Scarborough North/Scarborough-Nord"," 101","Toronto",87,8,71,4,170,434
35095,"Scarborough North/Scarborough-Nord"," 102","Toronto",95,2,52,0,149,360
35095,"Scarborough North/Scarborough-Nord"," 103","Toronto",110,10,78,0,198,419
35095,"Scarborough North/Scarborough-Nord"," 104","Toronto",104,10,68,1,183,586
35095,"Scarborough North/Scarborough-Nord"," 105","Toronto",112,12,69,2,195,474
35095,"Scarborough North/Scarborough-Nord"," 106","Toronto",59,2,37,1,99,305
35095,"Scarborough North/Scarborough-Nord"," 107","Toronto",146,6,87,0,239,523
35095,"Scarborough North/Scarborough-Nord"," 108","Toronto",84,7,38,3,132,475
35095,"Scarborough North/Scarborough-Nord"," 109","Toronto",70,9,40,1,120,460
35095,"Scarborough North/Scarborough-Nord"," 110","Toronto",76,10,48,0,134,433
35095,"Scarborough North/Scarborough-Nord"," 111","Toronto",91,8,48,1,148,295
35095,"Scarborough North/Scarborough-Nord"," 112","Toronto",112,12,19,1,144,383
35095,"Scarborough North/Scarborough-Nord"," 113","Toronto",97,9,43,2,151,484
35095,"Scarborough North/Scarborough-Nord"," 114","Toronto",89,6,47,0,142,457
35095,"Scarborough North/Scarborough-Nord"," 115","Toronto",89,10,28,3,130,407
35095,"Scarborough North/Scarborough-Nord"," 116","Toronto",77,9,33,1,120,484
35095,"Scarborough North/Scarborough-Nord"," 117","Toronto",69,15,68,2,154,410
35095,"Scarborough North/Scarborough-Nord"," 118","Toronto",60,0,40,0,100,428
35095,"Scarborough North/Scarborough-Nord"," 119","Toronto",102,6,58,1,167,498
35095,"Scarborough North/Scarborough-Nord"," 120","Toronto",89,2,68,1,160,591
35095,"Scarborough North/Scarborough-Nord"," 121","Toronto",51,0,52,0,103,321
35095,"Scarborough North/Scarborough-Nord"," 122","Toronto",51,8,35,1,95,322
35095,"Scarborough North/Scarborough-Nord"," 123","Toronto",113,9,60,1,183,555
35095,"Scarborough North/Scarborough-Nord"," 124","Toronto",96,5,73,2,176,442
35095,"Scarborough North/Scarborough-Nord"," 125","Toronto",130,7,75,3,215,489
35095,"Scarborough North/Scarborough-Nord"," 126","Toronto",72,0,45,0,117,469
35095,"Scarborough North/Scarborough-Nord"," 127","Toronto",83,8,96,0,187,416
35095,"Scarborough North/Scarborough-Nord"," 128","Toronto",44,3,43,0,90,340
35095,"Scarborough North/Scarborough-Nord"," 129","Toronto",154,12,104,0,270,505
35095,"Scarborough North/Scarborough-Nord"," 130","Toronto",66,5,60,0,131,486
35095,"Scarborough North/Scarborough-Nord"," 131","Toronto",77,2,58,1,138,368
35095,"Scarborough North/Scarborough-Nord"," 132","Toronto",49,2,54,0,105,362
35095,"Scarborough North/Scarborough-Nord"," 133","Toronto",86,4,52,0,142,390
35095,"Scarborough North/Scarborough-Nord"," 134","Toronto",61,1,45,0,107,379
35095,"Scarborough North/Scarborough-Nord"," 135","Toronto",71,6,36,1,114,374
35095,"Scarborough North/Scarborough-Nord"," 136","Toronto",89,4,48,1,142,349
35095,"Scarborough North/Scarborough-Nord"," 137","Toronto",97,3,63,1,164,389
35095,"Scarborough North/Scarborough-Nord"," 138","Toronto",61,3,57,1,122,365
35095,"Scarborough North/Scarborough-Nord"," 139","Toronto",86,9,48,0,143,398
35095,"Scarborough North/Scarborough-Nord"," 140","Toronto",73,3,32,2,110,390
35095,"Scarborough North/Scarborough-Nord"," 141","Toronto",79,12,64,3,158,428
35095,"Scarborough North/Scarborough-Nord"," 142","Toronto",97,4,47,1,149,404
35095,"Scarborough North/Scarborough-Nord"," 143","Toronto",75,3,62,2,142,364
35095,"Scarborough North/Scarborough-Nord"," 144","Toronto",99,8,29,1,137,384
35095,"Scarborough North/Scarborough-Nord"," 145","Toronto",70,8,57,1,136,395
35095,"Scarborough North/Scarborough-Nord"," 146","Toronto",76,11,33,0,120,386
35095,"Scarborough North/Scarborough-Nord"," 147","Toronto",96,8,55,1,160,425
35095,"Scarborough North/Scarborough-Nord"," 148","Toronto",89,2,69,2,162,479
35095,"Scarborough North/Scarborough-Nord"," 149","Toronto",89,1,41,1,132,316
35095,"Scarborough North/Scarborough-Nord"," 150","Toronto",70,7,52,0,129,368
35095,"Scarborough North/Scarborough-Nord"," 151","Toronto",75,3,65,1,144,370
35095,"Scarborough North/Scarborough-Nord"," 152","Toronto",70,5,46,2,123,441
35095,"Scarborough North/Scarborough-Nord"," 153","Toronto",74,0,48,2,124,422
35095,"Scarborough North/Scarborough-Nord"," 154","Toronto",73,2,71,3,149,355
35095,"Scarborough North/Scarborough-Nord"," 155","Toronto",86,5,53,0,144,452
35095,"Scarborough North/Scarborough-Nord"," 156","Toronto",57,2,48,0,107,376
35095,"Scarborough North/Scarborough-Nord"," 157","Toronto",45,2,44,0,91,337
35095,"Scarborough North/Scarborough-Nord"," 158","Toronto",27,1,37,0,65,285
35095,"Scarborough North/Scarborough-Nord"," 159","Toronto",61,1,57,1,120,508
35095,"Scarborough North/Scarborough-Nord"," 160","Toronto",57,4,49,4,114,450
35095,"Scarborough North/Scarborough-Nord"," 161","Toronto",76,3,53,0,132,367
35095,"Scarborough North/Scarborough-Nord"," 162","Toronto",77,2,57,1,137,539
35095,"Scarborough North/Scarborough-Nord"," 163","Toronto",95,5,52,2,154,449
35095,"Scarborough North/Scarborough-Nord"," 400","Toronto",102,6,69,1,178,354
35095,"Scarborough North/Scarborough-Nord"," 401","Toronto",86,7,66,1,160,355
35095,"Scarborough North/Scarborough-Nord"," 402","Toronto",92,9,91,3,195,388
35095,"Scarborough North/Scarborough-Nord"," 403","Toronto",171,14,98,3,286,485
35095,"Scarborough North/Scarborough-Nord"," 404","Toronto",136,9,92,5,242,460
35095,"Scarborough North/Scarborough-Nord"," 405","Toronto",129,11,82,0,222,471
35095,"Scarborough North/Scarborough-Nord"," 406","Toronto",131,2,83,4,220,448
35095,"Scarborough North/Scarborough-Nord"," 407","Toronto",67,8,29,0,104,217
35095,"Scarborough North/Scarborough-Nord"," 408","Toronto",167,13,58,4,242,432
35095,"Scarborough North/Scarborough-Nord"," 409","Toronto",123,8,58,1,190,339
35095,"Scarborough North/Scarborough-Nord"," 410","Toronto",113,4,72,1,190,339
35095,"Scarborough North/Scarborough-Nord"," 411","Toronto",68,6,38,3,115,193
35095,"Scarborough North/Scarborough-Nord"," 412","Toronto",66,8,21,1,96,146
35095,"Scarborough North/Scarborough-Nord"," 413","Toronto",148,14,87,1,250,408
35095,"Scarborough North/Scarborough-Nord"," 414","Toronto",166,18,83,5,272,429
35095,"Scarborough North/Scarborough-Nord"," 415","Toronto",54,7,32,1,94,202
35095,"Scarborough North/Scarborough-Nord"," 416","Toronto",134,14,77,4,229,376
35095,"Scarborough North/Scarborough-Nord"," 417","Toronto",109,5,55,2,171,313
35095,"Scarborough North/Scarborough-Nord"," 418","Toronto",130,13,95,0,238,446
35095,"Scarborough North/Scarborough-Nord"," 419","Toronto",165,12,73,1,251,399
35095,"Scarborough North/Scarborough-Nord"," 420","Toronto",203,8,100,0,311,520
35095,"Scarborough North/Scarborough-Nord"," 500","Mobile poll/Bureau itinérant",87,8,47,2,144,186
35095,"Scarborough North/Scarborough-Nord"," 501","Mobile poll/Bureau itinérant",109,10,61,5,185,159
35095,"Scarborough North/Scarborough-Nord"," 502","Mobile poll/Bureau itinérant",76,4,35,2,117,64
35095,"Scarborough North/Scarborough-Nord"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,150
35095,"Scarborough North/Scarborough-Nord"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,77
35095,"Scarborough North/Scarborough-Nord"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,200
35095,"Scarborough North/Scarborough-Nord"," 600","Toronto",904,31,427,15,1377,
35095,"Scarborough North/Scarborough-Nord"," 601","Toronto",677,39,329,7,1052,
35095,"Scarborough North/Scarborough-Nord"," 602","Toronto",623,13,328,4,968,
35095,"Scarborough North/Scarborough-Nord"," 603","Toronto",516,19,257,8,800,
35095,"Scarborough North/Scarborough-Nord"," 604","Toronto",495,10,212,1,718,
35095,"Scarborough North/Scarborough-Nord"," 605","Toronto",501,19,207,1,728,
35095,"Scarborough North/Scarborough-Nord"," 606","Toronto",522,25,191,1,739,
35095,"Scarborough North/Scarborough-Nord"," 607","Toronto",703,48,277,11,1039,
35095,"Scarborough North/Scarborough-Nord"," 608","Toronto",735,41,278,7,1061,
35095,"Scarborough North/Scarborough-Nord"," 609","Toronto",601,50,210,20,881,
35095,"Scarborough North/Scarborough-Nord"," 610","Toronto",760,35,241,14,1050,
35095,"Scarborough North/Scarborough-Nord"," 611","Toronto",960,67,454,5,1486,
35095,"Scarborough North/Scarborough-Nord"," 612","Toronto",587,29,279,11,906,
35095,"Scarborough North/Scarborough-Nord"," 613","Toronto",417,17,184,4,622,
35095,"Scarborough North/Scarborough-Nord"," 614","Toronto",574,25,328,5,932,
35095,"Scarborough North/Scarborough-Nord"," 615","Toronto",778,37,425,4,1244,
35095,"Scarborough North/Scarborough-Nord",,Group 1/Groupe 1, 474,29,130,32,665,292
