Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Karim Bardeesy,Edward Fraser,Lorne Gershuny,Anna Gorka,Bhutila Karpoche,Wladyslaw Lizon,Terry Parker,Rimmy Riarh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 1","Toronto",46,0,1,2,25,25,0,0,0,99,374
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 2","Toronto",59,0,0,0,17,42,0,0,0,118,387
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 3A","Toronto",37,1,0,2,18,34,0,0,1,93,315
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 3B","Toronto",57,0,1,1,14,50,0,0,1,124,352
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 4","Toronto",59,1,0,0,18,62,1,1,2,144,447
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 5","Toronto",130,0,0,2,50,73,1,0,2,258,573
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 6","Toronto",50,0,2,0,14,42,0,0,0,108,350
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 7","Toronto",80,1,1,1,16,37,0,0,0,136,397
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 8","Toronto",149,0,0,3,41,107,0,0,2,302,564
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 9","Toronto",117,4,0,4,33,72,1,0,0,231,384
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 10","Toronto",91,2,0,1,22,55,0,1,1,173,475
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 11","Toronto",73,3,1,1,58,26,1,0,0,163,407
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 12","Toronto",89,2,0,2,77,31,0,0,0,201,463
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 13","Toronto",91,1,1,1,55,30,0,1,1,181,563
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 14","Toronto",86,0,0,1,44,35,0,0,0,166,459
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 15A","Toronto",38,1,0,0,19,16,0,1,0,75,322
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 15B","Toronto",30,0,0,3,18,11,0,0,0,62,303
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 16","Toronto",128,2,0,1,60,41,0,2,1,235,584
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 17","Toronto",132,2,0,4,66,30,0,2,0,236,509
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 18","Toronto",129,1,1,2,59,46,0,1,0,239,472
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 19","Toronto",79,0,0,4,50,16,0,2,0,151,414
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 20","Toronto",71,1,0,3,42,25,1,1,0,144,483
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 21","Toronto",108,0,0,2,33,57,2,0,2,204,485
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 22","Toronto",71,0,1,7,24,50,1,0,0,154,349
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 23","Toronto",82,0,0,1,33,55,0,0,0,171,438
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 24","Toronto",76,0,0,4,34,40,0,1,1,156,490
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 25","Toronto",72,1,0,4,66,41,0,0,0,184,485
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 26","Toronto",69,1,0,1,57,33,0,0,0,161,443
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 27","Toronto",92,0,1,2,55,37,0,0,1,188,554
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 28","Toronto",75,0,0,2,52,35,2,0,2,168,478
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 29","Toronto",147,1,0,5,65,50,0,1,0,269,610
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 30","Toronto",83,1,0,0,40,29,0,1,0,154,479
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 31","Toronto",154,0,1,2,60,58,0,0,1,276,487
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 32","Toronto",103,0,0,3,32,26,0,0,2,166,487
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 33","Toronto",94,2,1,2,34,34,0,0,3,170,549
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 34","Toronto",102,0,0,5,45,27,0,0,1,180,450
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 35","Toronto",134,0,1,2,51,30,1,1,0,220,482
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 36","Toronto",114,1,0,0,38,34,1,0,0,188,471
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 37","Toronto",73,1,0,3,46,54,1,1,0,179,487
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 38","Toronto",91,1,0,4,41,39,0,1,0,177,440
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 39","Toronto",107,1,0,2,50,48,0,0,0,208,447
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 40","Toronto",93,0,0,4,57,35,1,0,0,190,443
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 41","Toronto",75,0,0,4,48,36,0,0,0,163,484
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 42","Toronto",84,1,0,2,44,39,1,0,0,171,450
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 43","Toronto",71,0,0,2,30,40,0,0,0,143,464
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 44","Toronto",75,1,0,2,32,23,0,0,0,133,410
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 45","Toronto",108,0,0,4,62,44,0,1,2,221,574
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 46","Toronto",121,0,1,1,74,84,0,2,1,284,555
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 47","Toronto",78,0,0,2,24,19,0,0,1,124,353
35105,"Taiaiako'n--Parkdale--High Park/Taiaiako'n--Parkdale--High Park"," 48","Toronto",143,0,0,6,40,66,0,0,0,255,548
