_id,SYS_ID,APPLICATION_TYPE,IN_DATE,FINALDATE,PLANNING_DISTRICT,WARD,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,REFERENCE_FILE,SUB_TYPE,WORK_TYPE,ZONING_REVIEW,ZONING_DESIGNATION,COMMUNITY,EMPLOYMENT_DISTRICT,DESCRIPTION,HEARING_DATE,TIME_OF_MEETING,MEETING_LOCATION,C_OF_A_DESCISION,ANYONE_OBJECT_AT_MEETING,APPEAL_EXPIRY_DATE,OMB_ORDER_DATE,OMB_DESCISION,NUMBER_OF_LOTS_CREATED,CONDITION_EXPIRY_DATE,STATUSDESC
76829,3676780,CO,2014-12-22,2023-03-02,Scarborough,20,694,BIRCHMOUNT,RD, ,   ,B057/14SC,,Sever Lot,Waiver,Two-Family Residential (T) & Residential Semi-Detached (SD) Zone [Waiver],Birchmount Park Community,,"Proposal to sever the property into two lots for single family houses, as shown on the attached Site Plan. The proposed lot shown as Part 1 would have a lot frontage of 9.77 m on Birchmount Road and lot area of approximately 255 m2. The proposed lot shown as Part 2 would have a lot frontage of 22.7 m on Birchmount Road and lot area of approximately 337 m2.","Nov 8, 2018",9:30 a.m.,"Council Chamber, Scarborough Civic Centre, 150 Borough Dr., M1P 4N7",Approved,,,,,1,"Nov 13, 2019",Closed
76830,3878953,CO,2015-12-23,2023-04-06,North York,18,52,NORTON,AVE, ,M2N,B0071/15NY,,Sever Lot,Waiver,R4/RD (f15.0; a550) (x5)(waiver),North York,,"To obtain consent to sever a portion of the land for the purpose of a lot addition to create a new building lot.  Applications B0071/15NY, B0014/16NY, A1129/15NY, A1130/15NY, A0260/16NY will be considered jointly.","Feb 9, 2017",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,,"Mar 8, 2017",,,1,,Closed
76831,4137234,CO,2017-04-11,2023-04-13,Etobicoke York,05,8,CAMEO,CRES, ,M6N,B0034/17EYK,,Other,Zoning Waiver,RS (Waiver),,,To obtain consent to the technical severance of the property for the purpose of re-establishing two separate lots.,"Aug 10, 2017",n/a,n/a,Approved,,"Sep 7, 2017",,,,"Aug 18, 2018",Closed
76832,4296179,MV,2017-12-14,2023-04-06,North York,18,52,NORTON,AVE, ,M2N,A1108/17NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R4 (WAV),North York,,"To construct a new two storey dwelling with integral garage. Files B0071/15NY, A1129/15NY and A1130/15NY were previously heard on February 9th, 2017 and were refused. ","Mar 22, 2018",1:30 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,,"Apr 11, 2018",,,,,Closed
76833,4308597,MV,2018-01-15,2023-04-06,North York,18,52,NORTON,AVE, ,M2N,A0053/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R4 (WAV),North York,,To construct a new two storey dwelling with integral garage. ,"Mar 22, 2018",1:30 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,,"Apr 11, 2018",,,,,Closed
76834,4308604,MV,2018-01-15,2023-04-06,North York,18,56,NORTON,AVE, ,M2N,A0054/18NY,New Res dwellings <= 3 units,New R Building,Zoning Waiver,RD / R4 (WAV),North York,,"To construct a new two storey dwelling with integral garage. Files B0071/15NY, A1129/15NY and A1130/15NY were previously heard on February 9th, 2017 and were refused. ","Mar 22, 2018",1:30 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,,"Apr 11, 2018",,,,,Closed
76835,4355676,CO,2018-04-17,2023-01-17,Scarborough,20,100,BRENDA,CRES, ,M1K,B0023/18SC,,Sever Lot,Zoning Review,RD - Residential Detached/ S- Single Family Residential [ZZC],Kennedy Park Community,,"This application is for consent to sever the land into two lots, as shown on the attached Site Plan.  Lot to be created Part 1 and Part 2 would have a frontage of 9.14 metres and a lot area of 258 square metres.  In order to facilitate the proposed development, relief from the provision of the Zoning By-law was requested, as outlined in A0134/18SC and A0135/18SC.","Sep 18, 2019",9:30 a.m.,"Committee Room 1 & 2, Scarborough Civic Centre, 150 Borough Dr., M1P 4N7",Approved,,"Oct 14, 2019",,,2,,Closed
76836,4376664,MV,2018-05-22,2023-01-23,Etobicoke York,01,89,BANKFIELD,DR, ,M9V,A0409/18EYK,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,,,,,,,,,,,,,,,Application Withdrawn
76837,4399537,MV,2018-06-22,2023-03-30,Toronto East York,09,2190,DUFFERIN,ST, ,M6E,A0511/18EYK,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,RM & R2 (ZR),,,To convert the existing ancillary structure into a garden suite.,"Mar 9, 2023",1:00 p.m.,Virtual Hearing,Approved,,"Mar 29, 2023",,,,,Closed
76838,4441004,CO,2018-08-31,2023-04-13,Etobicoke York,05,6,CAMEO,CRES, ,M6N,B0075/18EYK,,Other,Zoning Waiver,RS (Waiver),,,To obtain consent to the technical severance of the property for the purpose of re-establishing two separate lots.,"Nov 8, 2018",n/a,n/a,Approved,,"Dec 6, 2018",,,,"Nov 16, 2019",Closed
76839,4494852,MV,2018-12-03,2023-01-23,Etobicoke York,01,30,MERIDIAN,RD, ,M9W,A0882/18EYK,All Other,Other,Zoning Review,E & IC2 (ZR),,,To convert the existing front landscaping to front yard parking.,,,,Deferred,,"Feb 27, 2019",,,,,Application Withdrawn
76840,4549785,MV,2019-04-05,2023-04-13,Etobicoke York,02,35,SAFFRON,CRES, ,M9C,A0206/19EYK,All Other,Other,Zoning Review,R2 (ZR),,,"To construct a one-storey south side addition, which will be used as a day nursery.","Mar 23, 2023",1:00 p.m.,Virtual Hearing,Approved,,"Apr 12, 2023",,,,,Closed
76841,4562037,MV,2019-04-29,2023-05-05,North York,15,38,KEEWATIN,AVE, ,M4P,A0307/19NY,Add/Alt to Existing Res <= 3 units,R Addition,Zoning Review,R1S Z0.6/R(x954) [ZZC],Toronto,,"To enlarge the existing garage and construct an addition above the garage which will contain a residential unit. Plase note, this application was previouly deferred, June 20, 2019, to allow the applicant to meet with City Planning.","Apr 13, 2023",2:00 p.m.,Virtual Hearing,Approved,,"May 3, 2023",,,,,Closed
76842,4710442,CO,2020-01-22,2023-05-01,Etobicoke York,07,2728,JANE,ST, ,M3L,B0004/20EYK,,Other,Zoning Waiver,CL (waiver),,,To obtain consent to the technical severance of the property for the purpose of re-establishing two separate lots.,"Sep 15, 2020",n/a,n/a,Approved,,"Oct 13, 2020",,,,"Sep 23, 2021",Closed
76843,4757408,CO,2020-05-21,2023-04-06,Toronto East York,19,2165,GERRARD,ST,E,M4E,B0035/20TEY,,Sever Lot,Zoning Waiver,R(d1.0)(x7)(Waiver),Toronto,,To obtain consent to sever the lot into two residential lots.,"Dec 2, 2020",1:30 p.m.,Virtual Hearing,Refused,Yes,"Dec 28, 2020",,,2,,Closed
76844,4762020,CO,2020-06-01,2023-01-05,Scarborough,20,89,MCCOWAN,RD, ,M1M,B0022/20SC,,Other,Zoning Review,Residential Detached (RD) & Single Family (S) Zone [ZR],Cliffcrest Community,,"To obtain consent to sever rear portion of 89 McCowan Road to form a portion of a new residential lot with frontage on Martindale Road, as indicated on the attached plan. The existing dwelling will be maintained.","Nov 24, 2020",10:00 a.m.,This is a virtual hearing.,Refused,,"Dec 18, 2020",,,1,,Closed
76845,4774210,CO,2020-06-26,2023-01-03,Etobicoke York,01,26,CLARION,RD, ,M9R,B0025/20EYK,,Other,Zoning Review,RM (ZR),,,To obtain consent to the technical severance of the property for the purpose of re-establishing two separate lots.,"Jan 13, 2022",N/A,N/A,Approved,,"Feb 10, 2022",,,,,Closed
76846,4812997,CO,2020-09-16,2023-05-17,Etobicoke York,05,212,CORNELIUS,PKWY, ,M6L,B0039/20EYK,,Sever Lot,Zoning Review,RD (ZR),,,To obtain consent to sever the property into two residential lots.,"Jan 13, 2022",3:00 p.m.,Virtual Hearing,Approved,,"Feb 10, 2022",,,,"Jan 21, 2023",Closed
76847,4818606,CO,2020-09-25,2023-05-05,Toronto East York,12,22,MONTCLAIR,AVE, ,M4V,B0073/20TEY,,Lot Addition,Zoning Review,RD (f15.0; d0.35) (x1404),Toronto,,"To obtain consent to sever the property for the purposes of a lot addition. The severance will create an undersized lot at 22 Montclair Avenue (Part 1, Draft R-Plan).","Jun 2, 2021",N/A,N/A,Approved,,"Jun 28, 2021",,,0,"Jun 08, 2022",Closed
76848,4833516,CO,2020-10-27,2023-05-16,Etobicoke York,03,5,ENFIELD,AVE, ,M8W,B0045/20EYK,,Sever Lot,Zoning Review,RM & R3 (ZR),,,To obtain consent to sever the property into two undersized residential lots. ,"Jun 3, 2021",3:00 p.m.,Virtual Hearing,Refused,,"Jul 2, 2021",,,,,Closed
